test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_int,A1_int,A2_int,A3_int,B0_int,B1_int,B2_int,B3_int,C0_int,reference_int,input_width,output_width,operand_range,c_range
0,FF6D,01F4,FC2C,02A7,02B2,0284,FE7B,02EF,FFFFF2A0,-147,500,-980,679,690,644,-389,751,-3424,1108295,16,32,1000,100000
1,038C,FDA4,FE41,009F,FF95,FD63,FF14,FD16,000034B3,908,-604,-447,159,-107,-669,-236,-746,13491,307289,16,32,1000,100000
2,FE2E,0097,011C,FD7D,00FC,0084,FD96,FEEE,00016D3D,-466,151,284,-643,252,132,-618,-274,93501,-3329,16,32,1000,100000
3,03C2,01F4,FCD2,0057,01FA,FF64,00C6,0020,FFFF23F2,962,500,-814,87,506,-156,198,32,-56334,194050,16,32,1000,100000
4,FD47,FDBD,01D8,FCB7,FD9D,02CA,FED3,FEAB,FFFE9175,-697,-579,472,-841,-611,714,-301,-341,-93835,63335,16,32,1000,100000
5,FFC3,FECF,FC4F,03D5,002D,019E,020C,FF6A,FFFE7CE9,-61,-305,-945,981,45,414,524,-150,-99095,-870440,16,32,1000,100000
6,FC25,039D,0167,030F,FD67,0242,00BC,FD86,FFFF9ED3,-987,925,359,783,-665,578,188,-634,-24877,737198,16,32,1000,100000
7,FCE3,0150,FF68,FCF0,032D,018B,00B7,FD8C,00016BA2,-797,336,-152,-784,813,395,183,-628,93090,42385,16,32,1000,100000
8,FF18,FDF4,03C6,0048,00DC,01C4,0366,02B1,FFFFCB2F,-232,-524,966,72,220,452,870,689,-13521,588619,16,32,1000,100000
9,028C,FC6A,FDF3,FD0D,0314,0016,FDD3,01FD,00017F91,652,-918,-525,-755,788,22,-557,509,98193,499903,16,32,1000,100000
10,0088,0173,FD94,FE27,00CD,FF90,003D,036C,FFFEFE5C,136,371,-620,-473,205,-112,61,876,-65956,-531796,16,32,1000,100000
