vector_id,label,original,posit8_hex,decoded_posit8,quantization_error
0,A0,0.2788535969,12,0.28125,0.0023964031
0,A1,-0.9499784896,C3,-0.953125,-0.0031465104
0,A2,-0.4499413633,E3,-0.453125,-0.0031836367
0,A3,-0.5535785237,DD,-0.546875,0.0067035237
0,B0,0.4729424283,1E,0.46875,-0.0041924283
0,B1,0.3533989748,17,0.359375,0.0059760252
0,B2,0.7843591354,32,0.78125,-0.0031091354
0,B3,-0.8261223347,CB,-0.828125,-0.0020026653
0,C0,-0.1561563606,F6,-0.15625,-9.36394e-05
1,A0,-0.9404055611,C4,-0.9375,0.0029055611
1,A1,-0.5627240504,DC,-0.5625,0.0002240504
1,A2,0.0107105762,01,0.015625,0.0049144238
1,A3,-0.9469280606,C3,-0.953125,-0.0061969394
1,B0,-0.6023246986,D9,-0.609375,-0.0070503014
1,B1,0.2997688756,13,0.296875,-0.0028938756
1,B2,0.0898829612,06,0.09375,0.0038670388
1,B3,-0.5591187559,DC,-0.5625,-0.0033812441
1,C0,0.1785313678,0B,0.171875,-0.0066563678
2,A0,0.6188609134,28,0.625,0.0061390866
2,A1,-0.9870024806,C1,-0.984375,0.0026274806
2,A2,0.6116385037,27,0.609375,-0.0022635037
2,A3,0.3962787900,19,0.390625,-0.00565379
2,B0,-0.3194989670,EC,-0.3125,0.006998967
2,B1,-0.6890410004,D4,-0.6875,0.0015410004
2,B2,0.9144261444,3B,0.921875,0.0074488556
2,B3,-0.3268109098,EB,-0.328125,-0.0013140902
2,C0,-0.8145083132,CC,-0.8125,0.0020083132
3,A0,-0.8065672463,CC,-0.8125,-0.0059327537
3,A1,0.6949887327,2C,0.6875,-0.0074887327
3,A2,0.2074520627,0D,0.203125,-0.0043270627
3,A3,0.6142565465,27,0.609375,-0.0048815465
3,B0,0.4594635734,1D,0.453125,-0.0063385734
3,B1,0.0724561829,05,0.078125,0.0056688171
3,B2,0.9462315280,3D,0.953125,0.006893472
3,B3,-0.2429312456,F0,-0.25,-0.0070687544
3,C0,0.1040812625,07,0.109375,0.0052937375
4,A0,0.6588093285,2A,0.65625,-0.0025593285
4,A1,0.2370395047,0F,0.234375,-0.0026645047
4,A2,0.7234138006,2E,0.71875,-0.0046638006
4,A3,0.1547042905,0A,0.15625,0.0015457095
4,B0,0.4091436724,1A,0.40625,-0.0028936724
4,B1,-0.9083512327,C6,-0.90625,0.0021012327
4,B2,-0.5442034487,DD,-0.546875,-0.0026715513
4,B3,-0.4212240728,E5,-0.421875,-0.0006509272
4,C0,-0.8404160462,CA,-0.84375,-0.0033339538
5,A0,-0.5344182273,DE,-0.53125,0.0031682273
5,A1,-0.7979971412,CD,-0.796875,0.0011221412
5,A2,-0.4440527938,E4,-0.4375,0.0065527938
5,A3,0.2713688885,11,0.265625,-0.0057438885
5,B0,-0.2703356421,EF,-0.265625,0.0047106421
5,B1,-0.2596380658,EF,-0.265625,-0.0059869342
5,B2,-0.5809859385,DB,-0.578125,0.0028609385
5,B3,-0.4660443559,E2,-0.46875,-0.0027056441
5,C0,0.8733091754,38,0.875,0.0016908246
6,A0,0.2960707705,13,0.296875,0.0008042295
6,A1,0.2182620113,0E,0.21875,0.0004879887
6,A2,-0.6577227036,D6,-0.65625,0.0014727036
6,A3,0.4582535959,1D,0.453125,-0.0051285959
6,B0,-0.6731950125,D5,-0.671875,0.0013200125
6,B1,-0.2410891165,F1,-0.234375,0.0067141165
6,B2,0.9790467013,3F,0.984375,0.0053282987
6,B3,0.2799995197,12,0.28125,0.0012504803
6,C0,0.1138994875,07,0.109375,-0.0045244875
7,A0,0.3692285020,18,0.375,0.005771498
7,A1,0.6857038404,2C,0.6875,0.0017961596
7,A2,0.5519998231,23,0.546875,-0.0051248231
7,A3,-0.5419038561,DD,-0.546875,-0.0049711439
7,B0,-0.9357995122,C4,-0.9375,-0.0017004878
7,B1,-0.3690939039,E8,-0.375,-0.0059060961
7,B2,-0.4645182480,E2,-0.46875,-0.004231752
7,B3,-0.5780343128,DB,-0.578125,-9.06872e-05
7,C0,0.8858194287,39,0.890625,0.0048055713
8,A0,0.7527352529,30,0.75,-0.0027352529
8,A1,-0.3706442384,E8,-0.375,-0.0043557616
8,A2,0.3108773306,14,0.3125,0.0016226694
8,A3,-0.2087361979,F3,-0.203125,0.0056111979
8,B0,0.8290951795,35,0.828125,-0.0009701795
8,B1,-0.0822962948,FB,-0.078125,0.0041712948
8,B2,-0.4702396670,E2,-0.46875,0.001489667
8,B3,-0.5067449846,E0,-0.5,0.0067449846
8,C0,0.1227362683,08,0.125,0.0022637317
9,A0,-0.4745167830,E2,-0.46875,0.005766783
9,A1,0.1691719804,0B,0.171875,0.0027030196
9,A2,0.7956457672,33,0.796875,0.0012292328
9,A3,-0.2011989897,F3,-0.203125,-0.0019260103
9,B0,-0.5613584817,DC,-0.5625,-0.0011415183
9,B1,0.9950752130,40,1,0.004924787
9,B2,0.0190525874,01,0.015625,-0.0034275874
9,B3,-0.8181811757,CC,-0.8125,0.0056811757
9,C0,-0.9057672492,C6,-0.90625,-0.0004827508
10,A0,-0.7807017393,CE,-0.78125,-0.0005482607
10,A1,0.2548920834,10,0.25,-0.0048920834
10,A2,0.5841587287,25,0.578125,-0.0060337287
10,A3,-0.1556800664,F6,-0.15625,-0.0005699336
10,B0,-0.8729445877,C8,-0.875,-0.0020554123
10,B1,-0.2367614270,F1,-0.234375,0.002386427
10,B2,0.9922427605,40,1,0.0077572395
10,B3,0.0582286902,04,0.0625,0.0042713098
10,C0,0.9421567552,3C,0.9375,-0.0046567552
11,A0,0.7215594045,2E,0.71875,-0.0028094045
11,A1,-0.9770379561,C1,-0.984375,-0.0073370439
11,A2,0.4414436387,1C,0.4375,-0.0039436387
11,A3,0.3634207381,17,0.359375,-0.0040457381
11,B0,0.0739406608,05,0.078125,0.0041843392
11,B1,-0.4663496201,E2,-0.46875,-0.0024003799
11,B2,0.2819235972,12,0.28125,-0.0006735972
11,B3,-0.7768956528,CE,-0.78125,-0.0043543472
11,C0,-0.1304694987,F8,-0.125,0.0054694987
12,A0,-0.0925525873,FA,-0.09375,-0.0011974127
12,A1,0.9076318550,3A,0.90625,-0.001381855
12,A2,0.7517058808,30,0.75,-0.0017058808
12,A3,-0.4732218985,E2,-0.46875,0.0044718985
12,B0,0.0011722261,00,0,-0.0011722261
12,B1,-0.6426962389,D7,-0.640625,0.0020712389
12,B2,0.8252556787,35,0.828125,0.0028693213
12,B3,0.7410371397,2F,0.734375,-0.0066621397
12,C0,-0.4031104171,E6,-0.40625,-0.0031395829
13,A0,0.2778989897,12,0.28125,0.0033510103
13,A1,0.2179404229,0E,0.21875,0.0008095771
13,A2,-0.6943214629,D4,-0.6875,0.0068214629
13,A3,0.5250216002,22,0.53125,0.0062283998
13,B0,0.0787580602,05,0.078125,-0.0006330602
13,B1,0.5572529573,24,0.5625,0.0052470427
13,B2,0.0607073444,04,0.0625,0.0017926556
13,B3,-0.9988562077,C0,-1,-0.0011437923
13,C0,-0.3516878860,E9,-0.359375,-0.007687114
14,A0,-0.9610465152,C2,-0.96875,-0.0077034848
14,A1,0.8581972325,37,0.859375,0.0011777675
14,A2,0.7574437556,30,0.75,-0.0074437556
14,A3,0.6633310587,2A,0.65625,-0.0070810587
