vector_id,label,width_bits,fraction_bits,original,signed_raw,encoded_hex,decoded_fixed,quantization_error
0,A0,16,10,0.2788535969,286,011E,0.279296875,0.0004432781
0,A1,16,10,-0.9499784896,-973,FC33,-0.9501953125,-0.0002168229
0,A2,16,10,-0.4499413633,-461,FE33,-0.4501953125,-0.0002539492
0,A3,16,10,-0.5535785237,-567,FDC9,-0.5537109375,-0.0001324138
0,B0,16,10,0.4729424283,484,01E4,0.47265625,-0.0002861783
0,B1,16,10,0.3533989748,362,016A,0.353515625,0.0001166502
0,B2,16,10,0.7843591354,803,0323,0.7841796875,-0.0001794479
0,B3,16,10,-0.8261223347,-846,FCB2,-0.826171875,-4.95403e-05
0,C0,32,20,-0.1561563606,-163742,FFFD8062,-0.156156539917,-1.79316992199e-07
1,A0,16,10,-0.9404055611,-963,FC3D,-0.9404296875,-2.41264e-05
1,A1,16,10,-0.5627240504,-576,FDC0,-0.5625,0.0002240504
1,A2,16,10,0.0107105762,11,000B,0.0107421875,3.16113e-05
1,A3,16,10,-0.9469280606,-970,FC36,-0.947265625,-0.0003375644
1,B0,16,10,-0.6023246986,-617,FD97,-0.6025390625,-0.0002143639
1,B1,16,10,0.2997688756,307,0133,0.2998046875,3.58119e-05
1,B2,16,10,0.0898829612,92,005C,0.08984375,-3.92112e-05
1,B3,16,10,-0.5591187559,-573,FDC3,-0.5595703125,-0.0004515566
1,C0,32,20,0.1785313678,187204,0002DB44,0.178531646729,2.78928515618e-07
2,A0,16,10,0.6188609134,634,027A,0.619140625,0.0002797116
2,A1,16,10,-0.9870024806,-1011,FC0D,-0.9873046875,-0.0003022069
2,A2,16,10,0.6116385037,626,0272,0.611328125,-0.0003103787
2,A3,16,10,0.3962787900,406,0196,0.396484375,0.000205585
2,B0,16,10,-0.3194989670,-327,FEB9,-0.3193359375,0.0001630295
2,B1,16,10,-0.6890410004,-706,FD3E,-0.689453125,-0.0004121246
2,B2,16,10,0.9144261444,936,03A8,0.9140625,-0.0003636444
2,B3,16,10,-0.3268109098,-335,FEB1,-0.3271484375,-0.0003375277
2,C0,32,20,-0.8145083132,-854074,FFF2F7C6,-0.81450843811,-1.24910351618e-07
3,A0,16,10,-0.8065672463,-826,FCC6,-0.806640625,-7.33787e-05
3,A1,16,10,0.6949887327,712,02C8,0.6953125,0.0003237673
3,A2,16,10,0.2074520627,212,00D4,0.20703125,-0.0004208127
3,A3,16,10,0.6142565465,629,0275,0.6142578125,1.26600000006e-06
3,B0,16,10,0.4594635734,470,01D6,0.458984375,-0.0004791984
3,B1,16,10,0.0724561829,74,004A,0.072265625,-0.0001905579
3,B2,16,10,0.9462315280,969,03C9,0.9462890625,5.75345e-05
3,B3,16,10,-0.2429312456,-249,FF07,-0.2431640625,-0.0002328169
3,C0,32,20,0.1040812625,109137,0001AA51,0.10408115387,-1.08630371087e-07
4,A0,16,10,0.6588093285,675,02A3,0.6591796875,0.000370359
4,A1,16,10,0.2370395047,243,00F3,0.2373046875,0.0002651828
4,A2,16,10,0.7234138006,741,02E5,0.7236328125,0.0002190119
4,A3,16,10,0.1547042905,158,009E,0.154296875,-0.0004074155
4,B0,16,10,0.4091436724,419,01A3,0.4091796875,3.60151e-05
4,B1,16,10,-0.9083512327,-930,FC5E,-0.908203125,0.0001481077
4,B2,16,10,-0.5442034487,-557,FDD3,-0.5439453125,0.0002581362
4,B3,16,10,-0.4212240728,-431,FE51,-0.4208984375,0.0003256353
4,C0,32,20,-0.8404160462,-881240,FFF28DA8,-0.84041595459,9.16101562387e-08
5,A0,16,10,-0.5344182273,-547,FDDD,-0.5341796875,0.0002385398
5,A1,16,10,-0.7979971412,-817,FCCF,-0.7978515625,0.0001455787
5,A2,16,10,-0.4440527938,-455,FE39,-0.4443359375,-0.0002831437
5,A3,16,10,0.2713688885,278,0116,0.271484375,0.0001154865
5,B0,16,10,-0.2703356421,-277,FEEB,-0.2705078125,-0.0001721704
5,B1,16,10,-0.2596380658,-266,FEF6,-0.259765625,-0.0001275592
5,B2,16,10,-0.5809859385,-595,FDAD,-0.5810546875,-6.8749e-05
5,B3,16,10,-0.4660443559,-477,FE23,-0.4658203125,0.0002240434
5,C0,32,20,0.8733091754,915731,000DF913,0.873309135437,-3.99629882519e-08
6,A0,16,10,0.2960707705,303,012F,0.2958984375,-0.000172333
6,A1,16,10,0.2182620113,224,00E0,0.21875,0.0004879887
6,A2,16,10,-0.6577227036,-674,FD5E,-0.658203125,-0.0004804214
6,A3,16,10,0.4582535959,469,01D5,0.4580078125,-0.0002457834
6,B0,16,10,-0.6731950125,-689,FD4F,-0.6728515625,0.00034345
6,B1,16,10,-0.2410891165,-247,FF09,-0.2412109375,-0.000121821
6,B2,16,10,0.9790467013,1003,03EB,0.9794921875,0.0004454862
6,B3,16,10,0.2799995197,287,011F,0.2802734375,0.0002739178
6,C0,32,20,0.1138994875,119432,0001D288,0.113899230957,-2.56542968743e-07
7,A0,16,10,0.3692285020,378,017A,0.369140625,-8.7877e-05
7,A1,16,10,0.6857038404,702,02BE,0.685546875,-0.0001569654
7,A2,16,10,0.5519998231,565,0235,0.5517578125,-0.0002420106
7,A3,16,10,-0.5419038561,-555,FDD5,-0.5419921875,-8.83314e-05
7,B0,16,10,-0.9357995122,-958,FC42,-0.935546875,0.0002526372
7,B1,16,10,-0.3690939039,-378,FE86,-0.369140625,-4.67211e-05
7,B2,16,10,-0.4645182480,-476,FE24,-0.46484375,-0.000325502
7,B3,16,10,-0.5780343128,-592,FDB0,-0.578125,-9.06872000001e-05
7,C0,32,20,0.8858194287,928849,000E2C51,0.88581943512,6.41962893955e-09
8,A0,16,10,0.7527352529,771,0303,0.7529296875,0.0001944346
8,A1,16,10,-0.3706442384,-380,FE84,-0.37109375,-0.0004495116
8,A2,16,10,0.3108773306,318,013E,0.310546875,-0.0003304556
8,A3,16,10,-0.2087361979,-214,FF2A,-0.208984375,-0.0002481771
8,B0,16,10,0.8290951795,849,0351,0.8291015625,6.383e-06
8,B1,16,10,-0.0822962948,-84,FFAC,-0.08203125,0.0002650448
8,B2,16,10,-0.4702396670,-482,FE1E,-0.470703125,-0.000463458
8,B3,16,10,-0.5067449846,-519,FDF9,-0.5068359375,-9.09529000001e-05
8,C0,32,20,0.1227362683,128698,0001F6BA,0.122735977173,-2.91127148444e-07
9,A0,16,10,-0.4745167830,-486,FE1A,-0.474609375,-9.2592e-05
9,A1,16,10,0.1691719804,173,00AD,0.1689453125,-0.0002266679
9,A2,16,10,0.7956457672,815,032F,0.7958984375,0.0002526703
9,A3,16,10,-0.2011989897,-206,FF32,-0.201171875,2.71147e-05
9,B0,16,10,-0.5613584817,-575,FDC1,-0.5615234375,-0.0001649558
9,B1,16,10,0.9950752130,1019,03FB,0.9951171875,4.19745e-05
9,B2,16,10,0.0190525874,20,0014,0.01953125,0.0004786626
9,B3,16,10,-0.8181811757,-838,FCBA,-0.818359375,-0.0001781993
9,C0,32,20,-0.9057672492,-949766,FFF181FA,-0.905767440796,-1.9159589848e-07
10,A0,16,10,-0.7807017393,-799,FCE1,-0.7802734375,0.0004283018
10,A1,16,10,0.2548920834,261,0105,0.2548828125,-9.27090000002e-06
10,A2,16,10,0.5841587287,598,0256,0.583984375,-0.0001743537
10,A3,16,10,-0.1556800664,-159,FF61,-0.1552734375,0.0004066289
10,B0,16,10,-0.8729445877,-894,FC82,-0.873046875,-0.0001022873
10,B1,16,10,-0.2367614270,-242,FF0E,-0.236328125,0.000433302
10,B2,16,10,0.9922427605,1016,03F8,0.9921875,-5.52605e-05
10,B3,16,10,0.0582286902,60,003C,0.05859375,0.0003650598
10,C0,32,20,0.9421567552,987923,000F1313,0.942156791687,3.64870117453e-08
11,A0,16,10,0.7215594045,739,02E3,0.7216796875,0.000120283
11,A1,16,10,-0.9770379561,-1000,FC18,-0.9765625,0.0004754561
11,A2,16,10,0.4414436387,452,01C4,0.44140625,-3.73887e-05
11,A3,16,10,0.3634207381,372,0174,0.36328125,-0.0001394881
11,B0,16,10,0.0739406608,76,004C,0.07421875,0.0002780892
11,B1,16,10,-0.4663496201,-478,FE22,-0.466796875,-0.0004472549
11,B2,16,10,0.2819235972,289,0121,0.2822265625,0.0003029653
11,B3,16,10,-0.7768956528,-796,FCE4,-0.77734375,-0.0004480972
11,C0,32,20,-0.1304694987,-136807,FFFDE999,-0.130469322205,1.76495410148e-07
12,A0,16,10,-0.0925525873,-95,FFA1,-0.0927734375,-0.0002208502
12,A1,16,10,0.9076318550,929,03A1,0.9072265625,-0.0004052925
12,A2,16,10,0.7517058808,770,0302,0.751953125,0.0002472442
12,A3,16,10,-0.4732218985,-485,FE1B,-0.4736328125,-0.000410914
12,B0,16,10,0.0011722261,1,0001,0.0009765625,-0.0001956636
12,B1,16,10,-0.6426962389,-658,FD6E,-0.642578125,0.0001181139
12,B2,16,10,0.8252556787,845,034D,0.8251953125,-6.03662000001e-05
12,B3,16,10,0.7410371397,759,02F7,0.7412109375,0.0001737978
12,C0,32,20,-0.4031104171,-422692,FFF98CDC,-0.40311050415,-8.70503906181e-08
13,A0,16,10,0.2778989897,285,011D,0.2783203125,0.0004213228
13,A1,16,10,0.2179404229,223,00DF,0.2177734375,-0.0001669854
