test_id,reference_real,reference_rounded_lns16_hex,reference_rounded_lns16_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_lns16
0,-0.49182569671014514,7DF4,-0.49194280580829397,7DF4,-0.49194280580829397,0.00011710909814882653,0.00023811097901589343,1.3714540869231485e-08,1
1,-0.13462119043888798,7A37,-0.13466266952251343,7A37,-0.13466266952251343,4.147908362545083e-05,0.0003081170467310678,1.7205143784071431e-09,1
2,-0.4240065574298173,7D86,-0.42387734037233316,7D86,-0.42387734037233316,0.00012921705748414336,0.0003047524978561958,1.669704794486041e-08,1
3,-1.6759074409216697,617D,-1.674976233395689,617E,-1.6772453570178785,0.0013379160962088132,0.0007983233820317802,1.7900194804946303e-06,0
4,-0.3053102319256847,7C94,-0.3054615082431894,7C93,-0.30504825330638236,0.0002619786193023277,0.000858073500026346,6.863279697155394e-08,0
5,-0.5626178897725842,7E57,-0.5624987810161917,7E58,-0.5632608093041209,0.0006429195315367231,0.0011427285609360868,4.133455240313995e-07,0
6,0.28384353855938216,5C5E,0.28392735353945137,5C5E,0.28392735353945137,8.381498006920785e-05,0.0002952858483043225,7.024950884001708e-09,1
7,-0.2389114705646116,7BDE,-0.23875349378379873,7BDF,-0.23907693789113796,0.00016546732652636398,0.0006925884560306816,2.7379436147782358e-08,0
8,0.09237409500412672,5921,0.09242667698103682,5920,0.09230163412121871,7.246088290800701e-05,0.0007844286096093271,5.250579551807902e-09,0
9,-0.5076169141822693,7E0B,-0.5075016348954062,7E0B,-0.5075016348954062,0.000115279286863057,0.00022709898674035087,1.3289313979654985e-08,1
10,-0.14256959053411347,7A61,-0.14254142179663792,7A61,-0.14254142179663792,2.8168737475547934e-05,0.00019757886215439352,7.934777709663386e-10,1
11,-0.7818346709327397,7F4A,-0.7816156449856788,7F4A,-0.7816156449856788,0.0002190259470609135,0.00028014355873935915,4.797236548593008e-08,1
12,0.4732567916437006,5DD7,0.4730032085410998,5DD7,0.4730032085410998,0.0002535831026008184,0.0005358255963323453,6.430438992465719e-08,1
13,-0.34290662803500505,7CE9,-0.34271425944733463,7CE8,-0.34225060574364763,0.0006560222913574165,0.0019131222254777985,4.303652467578351e-07,0
14,-0.8895152533683139,7FAA,-0.8900950132577122,7FAA,-0.8900950132577122,0.0005797598893982903,0.0006517705988772225,3.361215293551178e-07,1
15,-0.10632989435747409,7989,-0.10640059510091285,7988,-0.10625664710740772,7.32472500663689e-05,0.000688867890906733,5.3651596422851784e-09,0
16,0.8657895787529044,5F96,0.8663180910111555,5F95,0.8651460604335072,0.0006435183193972405,0.0007432733486168468,4.141158273998488e-07,0
17,0.5920187872191489,5E7D,0.5921935264801965,5E7D,0.5921935264801965,0.00017473926104760729,0.0002951583037903215,3.0533809351463844e-08,1
18,-0.36609603937316626,7D1A,-0.36621968603660143,7D1A,-0.36621968603660143,0.00012364666343517294,0.0003377437888890635,1.5288497378650932e-08,1
19,-0.18860650268598284,7B30,-0.18864555344917786,7B2E,-0.1881354664529258,0.00047103623305702613,0.0024974548933833413,2.2187513285255303e-07,0
20,-0.6347128895563956,7EB0,-0.6345254785958666,7EB0,-0.6345254785958666,0.00018741096052898865,0.00029526887449847006,3.512286812639814e-08,1
21,-0.20358986324446562,7B68,-0.20350342773216848,7B69,-0.20377911787382944,0.00018925462936381088,0.0009295876835309755,3.581731473563343e-08,0
22,0.3861329092977962,5D41,0.3860750222727364,5D41,0.3860750222727364,5.7887025059821795e-05,0.00014991476682236826,3.3509076702764364e-09,1
23,0.13929211095481875,5A50,0.13929834282448655,5A4F,0.1391098878921701,0.0001822230626486454,0.0013082080628941857,3.320524456105215e-08,0
24,1.4664714706750899,411B,1.4668632445206276,411B,1.4668632445206276,0.0003917738455376796,0.00026715408609846774,1.5348674604738163e-07,1
25,1.0967768796042638,4044,1.0964290818163769,4044,1.0964290818163769,0.0003477977878869609,0.0003171089711632619,1.2096330125906347e-07,1
26,-1.6935491861180798,6185,-1.6932155287309343,6185,-1.6932155287309343,0.00033365738714552506,0.00019701664993287144,1.1132725199677879e-07,1
27,0.6343866289413982,5EB0,0.6345254785958666,5EB1,0.6353850828837699,0.0009984539423717465,0.0015738886931426469,9.969102750376828e-07,0
28,0.12002352181312502,59E2,0.12002495082269046,59E2,0.12002495082269046,1.4290095654428958e-06,1.1906079273926357e-05,2.042068338127294e-12,1
29,-0.251859860851002,7C05,-0.2516979942499902,7C06,-0.2520389745296044,0.000179113678602405,0.0007111640497108313,3.208170986248564e-08,0
30,0.8081789960357533,5F63,0.8085222464269852,5F63,0.8085222464269852,0.0003432503912319529,0.0004247207523526975,1.1782083108088872e-07,1
31,-1.0595795981599418,602B,-1.0599413037206447,602B,-1.0599413037206447,0.00036170556070280746,0.0003413670490928125,1.3083091264333234e-07,1
32,1.652206741688215,4173,1.6524531564943146,4173,1.6524531564943146,0.0002464148060996596,0.00014914284022826007,6.072025666513284e-08,1
33,0.9943938038757383,5FFC,0.9945994234836332,5FFC,0.9945994234836332,0.0002056196078948913,0.0002067788506861875,4.227942315084885e-08,1
34,1.1921682709129775,4082,1.1924313825831512,4082,1.1924313825831512,0.00026311167017367687,0.00022070011137956442,6.922775098158172e-08,1
35,0.8935290847871449,5FAD,0.8937174044150161,5FAD,0.8937174044150161,0.00018831962787124734,0.0002107593709902667,3.546428224156508e-08,1
36,1.4381138084442149,410C,1.4373759974489824,410D,1.4393232393051654,0.001209430860950489,0.000840984109775623,1.4627230074194409e-06,0
37,0.8780154379279821,5FA0,0.8781260801866497,5F9D,0.8745668833620694,0.0034485545659126426,0.003927669625093204,1.1892528594076935e-05,0
38,0.811876509420882,5F66,0.8118126635086644,5F66,0.8118126635086644,6.384591221753055e-05,7.863993042867118e-05,4.076300506888617e-09,1
39,-0.7950251657349606,7F57,-0.795493404931432,7F57,-0.795493404931432,0.0004682391964713206,0.0005889614777646153,2.1924794511210798e-07,1
40,1.1588452059471972,406D,1.159008080725426,406D,1.159008080725426,0.00016287477822873875,0.0001405492100177529,2.652819338306083e-08,1
41,1.5015290898662936,412C,1.5010140696264256,412C,1.5010140696264256,0.000515020239868047,0.0003429971775731018,2.652458474737407e-07,1
42,0.7196375533498258,5F0D,0.7196616196525827,5F0D,0.7196616196525827,2.406630275686439e-05,3.344225526424887e-05,5.791869283850585e-10,1
43,1.0336178539205547,4018,1.0330248790212284,4019,1.0344243383738811,0.0008064844533264282,0.0007802539887129462,6.504171734572276e-07,0
44,0.6176460947861785,5E9C,0.6175755319684667,5E9D,0.6184121738265036,0.0007660790403251072,0.0012403203821604578,5.868770960254372e-07,0
45,0.8531689460857499,5F8B,0.8535126110378932,5F8B,0.8535126110378932,0.0003436649521433299,0.0004028099636303324,1.1810559933167724e-07,1
46,-0.3156681226824184,7CAC,-0.3155493375985627,7CAC,-0.3155493375985627,0.0001187850838557103,0.00037629736840807146,1.4109896146608125e-08,1
47,0.6935390530437574,5EF2,0.6938310211492645,5EF2,0.6938310211492645,0.00029196810550713437,0.0004209829341632089,8.524537463342515e-08,1
