test_id,reference_real,reference_rounded_posit8_hex,reference_rounded_posit8_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_posit8
0,0.25048828125,10,0.25,0F,0.234375,0.01611328125,0.06432748538011696,0.00025963783264160156,0
1,0.62255859375,28,0.625,28,0.625,0.00244140625,0.00392156862745098,5.9604644775390625e-06,1
2,0.888916015625,39,0.890625,38,0.875,0.013916015625,0.015655039824224115,0.00019365549087524414,0
3,0.84765625,36,0.84375,36,0.84375,0.00390625,0.004608294930875576,1.52587890625e-05,1
4,0.77490234375,32,0.78125,31,0.765625,0.00927734375,0.011972274732199117,8.606910705566406e-05,0
5,-0.072509765625,FB,-0.078125,FB,-0.078125,0.005615234375,0.07744107744107744,3.153085708618164e-05,1
6,0.783935546875,32,0.78125,32,0.78125,0.002685546875,0.003425724073497353,7.212162017822266e-06,1
7,-0.15283203125,F6,-0.15625,F5,-0.171875,0.01904296875,0.12460063897763578,0.00036263465881347656,0
8,1.07421875,42,1.0625,42,1.0625,0.01171875,0.01090909090909091,0.0001373291015625,1
9,0.912353515625,3A,0.90625,3A,0.90625,0.006103515625,0.00668985817500669,3.725290298461914e-05,1
10,-0.9970703125,C0,-1.0,C0,-1.0,0.0029296875,0.002938295788442703,8.58306884765625e-06,1
11,-0.906982421875,C6,-0.90625,C7,-0.890625,0.016357421875,0.0180349932705249,0.0002675652503967285,0
12,-0.03662109375,FE,-0.03125,FE,-0.03125,0.00537109375,0.14666666666666667,2.8848648071289062e-05,1
13,0.756103515625,30,0.75,30,0.75,0.006103515625,0.008072328059412335,3.725290298461914e-05,1
14,-0.108642578125,F9,-0.109375,FA,-0.09375,0.014892578125,0.13707865168539327,0.00022178888320922852,0
15,-0.09033203125,FA,-0.09375,FA,-0.09375,0.00341796875,0.03783783783783784,1.1682510375976562e-05,1
16,-1.26416015625,B8,-1.25,B8,-1.25,0.01416015625,0.011201235998455001,0.00020051002502441406,1
17,-1.170654296875,BB,-1.15625,BA,-1.1875,0.016845703125,0.014389989572471324,0.00028377771377563477,0
18,0.99951171875,40,1.0,3F,0.984375,0.01513671875,0.015144113336590131,0.00022912025451660156,0
19,0.084228515625,05,0.078125,06,0.09375,0.009521484375,0.11304347826086956,9.065866470336914e-05,0
20,0.2841796875,12,0.28125,12,0.28125,0.0029296875,0.010309278350515464,8.58306884765625e-06,1
21,-0.1669921875,F5,-0.171875,F5,-0.171875,0.0048828125,0.029239766081871343,2.384185791015625e-05,1
22,-1.53173828125,AF,-1.53125,AF,-1.53125,0.00048828125,0.000318775900541919,2.384185791015625e-07,1
23,0.21435546875,0E,0.21875,0D,0.203125,0.01123046875,0.05239179954441914,0.00012612342834472656,0
24,0.422119140625,1B,0.421875,19,0.390625,0.031494140625,0.0746096009253904,0.0009918808937072754,0
25,0.968994140625,3E,0.96875,3E,0.96875,0.000244140625,0.0002519526329050139,5.960464477539063e-08,1
26,0.18505859375,0C,0.1875,0C,0.1875,0.00244140625,0.013192612137203167,5.9604644775390625e-06,1
27,0.4716796875,1E,0.46875,1E,0.46875,0.0029296875,0.006211180124223602,8.58306884765625e-06,1
28,2.06689453125,61,2.125,60,2.0,0.06689453125,0.03236475313016773,0.0044748783111572266,0
29,-0.333984375,EB,-0.328125,EC,-0.3125,0.021484375,0.06432748538011696,0.000461578369140625,0
30,0.583984375,25,0.578125,26,0.59375,0.009765625,0.016722408026755852,9.5367431640625e-05,0
31,-0.057861328125,FC,-0.0625,FC,-0.0625,0.004638671875,0.08016877637130802,2.1517276763916016e-05,1
32,-0.5615234375,DC,-0.5625,DC,-0.5625,0.0009765625,0.0017391304347826088,9.5367431640625e-07,1
33,0.178955078125,0B,0.171875,0B,0.171875,0.007080078125,0.03956343792633015,5.0127506256103516e-05,1
34,1.85009765625,5B,1.84375,5C,1.875,0.02490234375,0.013460015835312747,0.0006201267242431641,0
35,-0.82958984375,CB,-0.828125,CB,-0.828125,0.00146484375,0.0017657445556209534,2.1457672119140625e-06,1
36,-0.76806640625,CF,-0.765625,CF,-0.765625,0.00244140625,0.003178639542275906,5.9604644775390625e-06,1
37,-0.27685546875,EE,-0.28125,EE,-0.28125,0.00439453125,0.015873015873015872,1.9311904907226562e-05,1
38,-0.05078125,FD,-0.046875,FD,-0.046875,0.00390625,0.07692307692307693,1.52587890625e-05,1
39,-0.724365234375,D2,-0.71875,D2,-0.71875,0.005615234375,0.007751937984496124,3.153085708618164e-05,1
40,-1.5390625,AF,-1.53125,AF,-1.53125,0.0078125,0.005076142131979695,6.103515625e-05,1
41,-1.3740234375,B4,-1.375,B4,-1.375,0.0009765625,0.0007107320540156361,9.5367431640625e-07,1
42,-1.670654296875,AB,-1.65625,AA,-1.6875,0.016845703125,0.010083296799649276,0.00028377771377563477,0
43,0.0048828125,01,0.015625,00,0.0,0.0048828125,1.0,2.384185791015625e-05,0
44,2.087890625,61,2.125,61,2.125,0.037109375,0.01777362020579981,0.001377105712890625,1
45,-0.107421875,F9,-0.109375,F9,-0.109375,0.001953125,0.01818181818181818,3.814697265625e-06,1
46,-0.515380859375,DF,-0.515625,DF,-0.515625,0.000244140625,0.0004737091425864519,5.960464477539063e-08,1
47,-0.439453125,E4,-0.4375,E4,-0.4375,0.001953125,0.0044444444444444444,3.814697265625e-06,1
48,-1.3994140625,B3,-1.40625,B3,-1.40625,0.0068359375,0.004884856943475227,4.673004150390625e-05,1
49,-1.20361328125,B9,-1.21875,BA,-1.1875,0.01611328125,0.013387423935091278,0.00025963783264160156,0
50,0.732421875,2F,0.734375,2F,0.734375,0.001953125,0.0026666666666666666,3.814697265625e-06,1
51,-1.351806640625,B5,-1.34375,B4,-1.375,0.023193359375,0.01715730540003612,0.0005379319190979004,0
52,-0.144775390625,F7,-0.140625,F7,-0.140625,0.004150390625,0.02866779089376054,1.722574234008789e-05,1
53,-0.16064453125,F6,-0.15625,F5,-0.171875,0.01123046875,0.06990881458966565,0.00012612342834472656,0
54,1.985107421875,60,2.0,60,2.0,0.014892578125,0.007502152256794982,0.00022178888320922852,1
55,1.471435546875,4F,1.46875,50,1.5,0.028564453125,0.019412643106022896,0.0008159279823303223,0
56,1.7685546875,59,1.78125,5A,1.8125,0.0439453125,0.02484815019326339,0.0019311904907226562,0
57,0.83154296875,35,0.828125,34,0.8125,0.01904296875,0.022900763358778626,0.00036263465881347656,0
58,-1.14208984375,BB,-1.15625,BB,-1.15625,0.01416015625,0.012398460880718255,0.00020051002502441406,1
59,-0.85302734375,C9,-0.859375,CA,-0.84375,0.00927734375,0.010875787063537493,8.606910705566406e-05,0
60,-0.296142578125,ED,-0.296875,ED,-0.296875,0.000732421875,0.00247320692497939,5.364418029785156e-07,1
61,0.057861328125,04,0.0625,04,0.0625,0.004638671875,0.08016877637130802,2.1517276763916016e-05,1
62,-0.023193359375,FF,-0.015625,FE,-0.03125,0.008056640625,0.3473684210526316,6.490945816040039e-05,0
63,-1.52587890625,AF,-1.53125,AF,-1.53125,0.00537109375,0.00352,2.8848648071289062e-05,1
64,-0.397216796875,E7,-0.390625,E6,-0.40625,0.009033203125,0.022741241548862937,8.159875869750977e-05,0
65,-1.10498046875,BD,-1.09375,BC,-1.125,0.02001953125,0.018117543084401236,0.00040078163146972656,0
66,-0.43408203125,E4,-0.4375,E5,-0.421875,0.01220703125,0.0281214848143982,0.00014901161193847656,0
67,-0.069580078125,FC,-0.0625,FC,-0.0625,0.007080078125,0.10175438596491228,5.0127506256103516e-05,1
68,1.09521484375,43,1.09375,43,1.09375,0.00146484375,0.0013374944271065537,2.1457672119140625e-06,1
69,1.087646484375,43,1.09375,42,1.0625,0.025146484375,0.023120089786756455,0.0006323456764221191,0
70,0.477783203125,1F,0.484375,1E,0.46875,0.009033203125,0.01890648952478283,8.159875869750977e-05,0
71,-0.386962890625,E7,-0.390625,E7,-0.390625,0.003662109375,0.00946372239747634,1.341104507446289e-05,1
72,0.28662109375,12,0.28125,13,0.296875,0.01025390625,0.03577512776831346,0.00010514259338378906,0
73,-1.165771484375,BB,-1.15625,BA,-1.1875,0.021728515625,0.018638743455497382,0.00047212839126586914,0
74,0.2431640625,10,0.25,0F,0.234375,0.0087890625,0.03614457831325301,7.724761962890625e-05,0
75,0.012939453125,01,0.015625,00,0.0,0.012939453125,1.0,0.00016742944717407227,0
76,-0.99462890625,C0,-1.0,C0,-1.0,0.00537109375,0.005400098183603338,2.8848648071289062e-05,1
77,0.2255859375,0E,0.21875,0F,0.234375,0.0087890625,0.03896103896103896,7.724761962890625e-05,0
78,0.29736328125,13,0.296875,14,0.3125,0.01513671875,0.05090311986863711,0.00022912025451660156,0
79,-1.434326171875,B2,-1.4375,B2,-1.4375,0.003173828125,0.0022127659574468087,1.0073184967041016e-05,1
80,1.273681640625,49,1.28125,48,1.25,0.023681640625,0.018593061146252636,0.0005608201026916504,0
81,1.821533203125,5A,1.8125,5A,1.8125,0.009033203125,0.004959120761292052,8.159875869750977e-05,1
82,-0.816162109375,CC,-0.8125,CD,-0.796875,0.019287109375,0.02363146874065211,0.0003719925880432129,0
83,-0.807373046875,CC,-0.8125,CB,-0.828125,0.020751953125,0.025703054127608104,0.00043064355850219727,0
84,-1.23583984375,B8,-1.25,B8,-1.25,0.01416015625,0.011457921770051362,0.00020051002502441406,1
85,0.420166015625,1B,0.421875,1B,0.421875,0.001708984375,0.004067402672864613,2.9206275939941406e-06,1
86,-0.849365234375,CA,-0.84375,CA,-0.84375,0.005615234375,0.006611095142282265,3.153085708618164e-05,1
87,-0.474365234375,E2,-0.46875,E1,-0.484375,0.010009765625,0.02110138960370561,0.00010019540786743164,0
88,-1.3115234375,B6,-1.3125,B6,-1.3125,0.0009765625,0.0007446016381236039,9.5367431640625e-07,1
89,0.39208984375,19,0.390625,19,0.390625,0.00146484375,0.0037359900373599006,2.1457672119140625e-06,1
90,0.8291015625,35,0.828125,36,0.84375,0.0146484375,0.0176678445229682,0.00021457672119140625,0
91,2.04638671875,60,2.0,60,2.0,0.04638671875,0.022667621092817943,0.0021517276763916016,1
92,0.007568359375,01,0.015625,00,0.0,0.007568359375,1.0,5.728006362915039e-05,0
93,0.009033203125,01,0.015625,01,0.015625,0.006591796875,0.7297297297297297,4.3451786041259766e-05,1
94,-1.9248046875,A2,-1.9375,A2,-1.9375,0.0126953125,0.006595636732623034,0.00016117095947265625,1
95,0.545654296875,23,0.546875,23,0.546875,0.001220703125,0.0022371364653243847,1.4901161193847656e-06,1
96,0.470947265625,1E,0.46875,1F,0.484375,0.013427734375,0.02851218247796786,0.00018030405044555664,0
97,-0.817138671875,CC,-0.8125,CC,-0.8125,0.004638671875,0.005676725425754407,2.1517276763916016e-05,1
98,-0.859619140625,C9,-0.859375,C8,-0.875,0.015380859375,0.017892644135188866,0.0002365708351135254,0
99,-1.5791015625,AD,-1.59375,AE,-1.5625,0.0166015625,0.010513296227581941,0.00027561187744140625,0
100,-0.37109375,E8,-0.375,E8,-0.375,0.00390625,0.010526315789473684,1.52587890625e-05,1
101,0.7216796875,2E,0.71875,2F,0.734375,0.0126953125,0.017591339648173207,0.00016117095947265625,0
