test_id,reference_real,reference_rounded_fxp8_16_hex,reference_rounded_fxp8_16_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_fxp8_16
0,0.25099313185712013,0101,0.2509765625,00C0,0.1875,0.06349313185712013,0.2529676066724571,0.0040313777930256435,0
1,0.6111918757617155,0272,0.611328125,022A,0.541015625,0.07017625076171552,0.11481869040594878,0.004924706170971178,0
2,0.905413268879161,039F,0.9052734375,03B5,0.9267578125,0.02134454362083904,0.023574365822208582,0.0004555895423819006,0
3,0.8417795882589152,035E,0.841796875,0351,0.8291015625,0.01267802575891519,0.015060980256289694,0.00016073233714371707,0
4,0.7654382948371868,0310,0.765625,0308,0.7578125,0.007625794837186839,0.009962651318365106,5.815274689886545e-05,0
5,-0.0730184190941866,FFB5,-0.0732421875,FFA5,-0.0888671875,0.015848768405813396,0.21705165083579855,0.0002511834599811089,0
6,0.7780821892252374,031D,0.7783203125,0302,0.751953125,0.02612906422523742,0.03358136786456326,0.0006827279972865819,0
7,-0.15682654334523616,FF5F,-0.1572265625,FF65,-0.1513671875,0.005459355845236158,0.034811427509551074,2.9804566244914203e-05,0
8,1.0906145462607344,045D,1.0908203125,044A,1.072265625,0.018348921260734397,0.01682438706107969,0.00033668291143263074,0
9,0.8965771444426726,0396,0.896484375,0362,0.845703125,0.05087401944267256,0.056742489765670645,0.0025881658542534253,0
10,-0.9945715213646571,FC06,-0.994140625,FC39,-0.9443359375,0.050235583864657096,0.050509775099661584,0.0025236138862229965,0
11,-0.8997485760719126,FC67,-0.8994140625,FC49,-0.9287109375,0.02896236142808739,0.0321893940133033,0.0008388183794911643,0
12,-0.03672277498071064,FFDA,-0.037109375,FFC3,-0.0595703125,0.022847537519289363,0.6221626097507741,0.0005220099706953351,0
13,0.756191357150785,0306,0.755859375,030D,0.7626953125,0.006503955349214996,0.008600938489591998,4.230143518458236e-05,0
14,-0.11146602088579544,FF8E,-0.111328125,FF88,-0.1171875,0.005721479114204564,0.051329356414961745,3.273532325427904e-05,0
15,-0.08235966065865169,FFAC,-0.08203125,FFA5,-0.0888671875,0.00650752684134831,0.07901352178124485,4.234790559086871e-05,0
16,-1.2563583539010545,FAF9,-1.2568359375,FB3D,-1.1904296875,0.06592866640105455,0.052476004315442956,0.0043465890534215386,0
17,-1.1767479866301558,FB4B,-1.1767578125,FB75,-1.1357421875,0.041005799130155784,0.034846712801764615,0.0016814755623026849,0
18,0.9875381396379357,03F3,0.9873046875,03B0,0.921875,0.06566313963793569,0.0664917505485003,0.004311647907111041,0
19,0.08321246480432165,0055,0.0830078125,006F,0.1083984375,0.02518597269567835,0.30267067265588693,0.0006343332206274554,0
20,0.2848773489524206,0124,0.28515625,0105,0.2548828125,0.029994536452420617,0.10528929928167162,0.0008996722169955892,0
21,-0.17152690214297195,FF50,-0.171875,FF2E,-0.205078125,0.03355122285702805,0.19560326944552564,0.0011256845552019615,0
22,-1.5390109825196372,F9D8,-1.5390625,F9F9,-1.5068359375,0.032175045019637194,0.020906312810686296,0.0010352335220156802,0
23,0.20583504192733293,00D3,0.2060546875,0105,0.2548828125,0.04904777057266707,0.23828678593017547,0.0024056837981489857,0
24,0.4268258192949741,01B5,0.4267578125,0178,0.3671875,0.059638319294974096,0.13972519139888018,0.0035567291283292797,0
25,0.9674076180779614,03DF,0.9677734375,03B7,0.9287109375,0.038696680577961384,0.04000038851755548,0.0014974330877527739,0
26,0.18134563223715205,00BA,0.181640625,009F,0.1552734375,0.026072194737152055,0.1437707344561601,0.0006797593384119793,0
