test_id,reference_real,reference_rounded_fxp16_32_hex,reference_rounded_fxp16_32_real,hw_hex,hw_real,abs_error,rel_error,squared_error,exact_match_to_reference_rounded_fxp16_32
0,0.25099313185712013,00040411,0.2509927749633789,0003FE18,0.24953460693359375,0.001458524923526383,0.005811015276532189,2.127294952547642e-06,0
1,0.6111918757617155,0009C771,0.6111917495727539,0009BF4F,0.6092061996459961,0.001985676115719426,0.0032488588190815195,3.9429096365385865e-06,0
2,0.905413268879161,000E7C93,0.9054136276245117,000E7E4F,0.9058370590209961,0.0004237901418351342,0.0004680626586793422,1.7959808431664316e-07,0
3,0.8417795882589152,000D77EE,0.8417797088623047,000D72F3,0.8405637741088867,0.0012158141500284714,0.0014443378848650703,1.4782040474094543e-06,0
4,0.7654382948371868,000C3F3C,0.7654380798339844,000C3FA8,0.7655410766601562,0.00010278182296941107,0.00013427839142967542,1.0564103132915357e-08,0
5,-0.0730184190941866,FFFED4EB,-0.07301807403564453,FFFECEAB,-0.07454395294189453,0.0015255338477079272,0.020892452433681673,2.3272535205025532e-06,0
6,0.7780821892252374,000C7306,0.7780818939208984,000C6C93,0.7765073776245117,0.0015748116007257007,0.0020239656202563814,2.4800315777802436e-06,0
7,-0.15682654334523616,FFFD7DA3,-0.15682697296142578,FFFD802C,-0.15620803833007812,0.0006185050151580329,0.003943879664531425,3.8254845377563855e-07,0
8,1.0906145462607344,00117328,1.0906143188476562,00116C8E,1.0890026092529297,0.001611937007804709,0.0014780079848846447,2.5983409171303984e-06,0
9,0.8965771444426726,000E5861,0.8965768814086914,000E57E1,0.8964548110961914,0.00012233334648115157,0.00013644486393549107,1.496544766127748e-08,0
10,-0.9945715213646571,FFF0163C,-0.9945716857910156,FFF01A75,-0.9935407638549805,0.0010307575096766275,0.0010363834953390977,1.062461043754763e-06,0
11,-0.8997485760719126,FFF19AA1,-0.8997488021850586,FFF1974B,-0.9005632400512695,0.0008146639793569221,0.0009054351415742724,6.636773992616556e-07,0
12,-0.03672277498071064,FFFF6995,-0.03672313690185547,FFFF65F4,-0.037609100341796875,0.0008863253610862376,0.024135576942423263,7.855726457046495e-07,0
13,0.756191357150785,000C195C,0.7561912536621094,000C1886,0.7559871673583984,0.00020418979238656654,0.0002700239700648297,4.169347131486915e-08,0
14,-0.11146602088579544,FFFE376F,-0.1114664077758789,FFFE36DD,-0.11160564422607422,0.00013962334027878276,0.0012526089939268257,1.949467715060476e-08,0
15,-0.08235966065865169,FFFEAEA8,-0.08235931396484375,FFFEAD8D,-0.08262920379638672,0.0002695431377350288,0.0032727567789791997,7.265350310004471e-08,0
16,-1.2563583539010545,FFEBE5F5,-1.2563581466674805,FFEBECB1,-1.254714012145996,0.0016443417550584538,0.0013088158724401295,2.703859807428716e-06,0
17,-1.1767479866301558,FFED2C0A,-1.176748275756836,FFED2B4F,-1.176926612854004,0.00017862622384812177,0.0001517964983816563,3.190732784623931e-08,0
18,0.9875381396379357,000FCCF5,0.9875383377075195,000FC430,0.9853973388671875,0.0021408007707481858,0.002167815788393828,4.583027940036026e-06,0
19,0.08321246480432165,000154D7,0.08321285247802734,000155BB,0.08343029022216797,0.00021782541784631793,0.0026177017873289235,4.7447912659923e-08,0
20,0.2848773489524206,00048EDC,0.2848777770996094,000488D7,0.28340816497802734,0.0014691839743932733,0.005157250935519805,2.1585015506140143e-06,0
21,-0.17152690214297195,FFFD416D,-0.17152690887451172,FFFD3A6A,-0.17323875427246094,0.0017118521294889888,0.009980079556629067,2.9304377132359858e-06,0
