row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated,golden,faulty_result,class
0,0,A0,0,16,0,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
1,0,A0,0,16,0,1,011E,011F,True,FFFBE8F3,FFFBEAD7,SDC
2,0,A0,0,16,1,0,011E,011C,True,FFFBE8F3,FFFBE52B,SDC
3,0,A0,0,16,1,1,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
4,0,A0,0,16,2,0,011E,011A,True,FFFBE8F3,FFFBE163,SDC
5,0,A0,0,16,2,1,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
6,0,A0,0,16,3,0,011E,0116,True,FFFBE8F3,FFFBD9D3,SDC
7,0,A0,0,16,3,1,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
8,0,A0,0,16,4,0,011E,010E,True,FFFBE8F3,FFFBCAB3,SDC
9,0,A0,0,16,4,1,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
10,0,A0,0,16,5,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
11,0,A0,0,16,5,1,011E,013E,True,FFFBE8F3,FFFC2573,SDC
12,0,A0,0,16,6,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
13,0,A0,0,16,6,1,011E,015E,True,FFFBE8F3,FFFC61F3,SDC
14,0,A0,0,16,7,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
15,0,A0,0,16,7,1,011E,019E,True,FFFBE8F3,FFFCDAF3,SDC
16,0,A0,0,16,8,0,011E,001E,True,FFFBE8F3,FFFA04F3,SDC
17,0,A0,0,16,8,1,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
18,0,A0,0,16,9,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
19,0,A0,0,16,9,1,011E,031E,True,FFFBE8F3,FFFFB0F3,SDC
20,0,A0,0,16,10,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
21,0,A0,0,16,10,1,011E,051E,True,FFFBE8F3,000378F3,SDC
22,0,A0,0,16,11,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
23,0,A0,0,16,11,1,011E,091E,True,FFFBE8F3,000B08F3,SDC
24,0,A0,0,16,12,0,011E,011E,False,FFFBE8F3,FFFBE8F3,Not activated
