vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
0,B416,Normal,288,144,144,7,137,4.861111,95.138889
1,3C6E,Normal,288,144,144,26,118,18.055556,81.944444
2,2E4A,Normal,288,144,144,4,140,2.777778,97.222222
3,B16B,Normal,288,144,144,6,138,4.166667,95.833333
4,BCFB,Normal,288,144,144,21,123,14.583333,85.416667
5,3D6C,Normal,288,144,144,19,125,13.194444,86.805556
6,B93B,Normal,288,144,144,8,136,5.555556,94.444444
7,3580,Normal,288,144,144,5,139,3.472222,96.527778
8,39E6,Normal,288,144,144,15,129,10.416667,89.583333
9,B4A8,Normal,288,144,144,13,131,9.027778,90.972222
10,4044,Normal,288,144,144,29,115,20.138889,79.861111
11,330F,Normal,288,144,144,13,131,9.027778,90.972222
12,B9BC,Normal,288,144,144,26,118,18.055556,81.944444
13,BA33,Normal,288,144,144,19,125,13.194444,86.805556
14,AAB0,Normal,288,144,144,8,136,5.555556,94.444444
15,38E1,Normal,288,144,144,20,124,13.888889,86.111111
16,3669,Normal,288,144,144,8,136,5.555556,94.444444
17,3D0D,Normal,288,144,144,23,121,15.972222,84.027778
18,3E99,Normal,288,144,144,12,132,8.333333,91.666667
19,B485,Normal,288,144,144,17,127,11.805556,88.194444
20,348B,Normal,288,144,144,8,136,5.555556,94.444444
21,BD5B,Normal,288,144,144,33,111,22.916667,77.083333
22,B771,Normal,288,144,144,6,138,4.166667,95.833333
23,AC5B,Normal,288,144,144,12,132,8.333333,91.666667
24,BBC6,Normal,288,144,144,19,125,13.194444,86.805556
25,ACAE,Normal,288,144,144,18,126,12.500000,87.500000
26,B728,Normal,288,144,144,12,132,8.333333,91.666667
27,3072,Normal,288,144,144,2,142,1.388889,98.611111
28,3FBA,Normal,288,144,144,14,130,9.722222,90.277778
29,BCC9,Normal,288,144,144,21,123,14.583333,85.416667
30,BA32,Normal,288,144,144,7,137,4.861111,95.138889
31,BCE1,Normal,288,144,144,25,119,17.361111,82.638889
32,B659,Normal,288,144,144,7,137,4.861111,95.138889
33,BF62,Normal,288,144,144,12,132,8.333333,91.666667
34,BC50,Normal,288,144,144,9,135,6.250000,93.750000
35,3C58,Normal,288,144,144,11,133,7.638889,92.361111
36,B441,Normal,288,144,144,1,143,0.694444,99.305556
37,BED5,Normal,288,144,144,12,132,8.333333,91.666667
38,2E71,Normal,288,144,144,3,141,2.083333,97.916667
39,3426,Normal,288,144,144,11,133,7.638889,92.361111
40,BD03,Normal,288,144,144,33,111,22.916667,77.083333
41,B49E,Normal,288,144,144,7,137,4.861111,95.138889
42,B93B,Normal,288,144,144,13,131,9.027778,90.972222
43,BE57,Normal,288,144,144,20,124,13.888889,86.111111
44,371A,Normal,288,144,144,26,118,18.055556,81.944444
45,BA09,Normal,288,144,144,14,130,9.722222,90.277778
46,B0A5,Normal,288,144,144,7,137,4.861111,95.138889
47,BC44,Normal,288,144,144,25,119,17.361111,82.638889
48,3A07,Normal,288,144,144,25,119,17.361111,82.638889
49,3B67,Normal,288,144,144,24,120,16.666667,83.333333
50,ABD9,Normal,288,144,144,1,143,0.694444,99.305556
