target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,59,41,26,15,36.585366
A0,0,1,100,41,59,45,14,23.728814
A0,1,0,100,54,46,24,22,47.826087
A0,1,1,100,46,54,29,25,46.296296
A0,2,0,100,47,53,15,38,71.698113
A0,2,1,100,53,47,9,38,80.851064
A0,3,0,100,55,45,4,41,91.111111
A0,3,1,100,45,55,11,44,80.000000
A0,4,0,100,43,57,4,53,92.982456
A0,4,1,100,57,43,5,38,88.372093
A0,5,0,100,53,47,2,45,95.744681
A0,5,1,100,47,53,5,48,90.566038
A0,6,0,100,52,48,2,46,95.833333
A0,6,1,100,48,52,0,52,100.000000
A0,7,0,100,48,52,3,49,94.230769
A0,7,1,100,52,48,0,48,100.000000
A0,8,0,100,53,47,1,46,97.872340
A0,8,1,100,47,53,0,53,100.000000
A0,9,0,100,46,54,0,54,100.000000
A0,9,1,100,54,46,0,46,100.000000
A0,10,0,100,66,34,1,33,97.058824
A0,10,1,100,34,66,0,66,100.000000
A0,11,0,100,39,61,1,60,98.360656
A0,11,1,100,61,39,0,39,100.000000
A0,12,0,100,13,87,0,87,100.000000
A0,12,1,100,87,13,0,13,100.000000
A0,13,0,100,0,100,1,99,99.000000
A0,13,1,100,100,0,0,0,0.000000
A0,14,0,100,100,0,0,0,0.000000
A0,14,1,100,0,100,0,100,100.000000
A0,15,0,100,53,47,1,46,97.872340
A0,15,1,100,47,53,0,53,100.000000
A1,0,0,100,58,42,23,19,45.238095
A1,0,1,100,42,58,39,19,32.758621
A1,1,0,100,56,44,23,21,47.727273
A1,1,1,100,44,56,31,25,44.642857
A1,2,0,100,37,63,22,41,65.079365
A1,2,1,100,63,37,9,28,75.675676
A1,3,0,100,48,52,12,40,76.923077
A1,3,1,100,52,48,13,35,72.916667
A1,4,0,100,48,52,5,47,90.384615
A1,4,1,100,52,48,6,42,87.500000
A1,5,0,100,54,46,2,44,95.652174
A1,5,1,100,46,54,6,48,88.888889
A1,6,0,100,45,55,1,54,98.181818
A1,6,1,100,55,45,1,44,97.777778
A1,7,0,100,37,63,2,61,96.825397
A1,7,1,100,63,37,0,37,100.000000
A1,8,0,100,48,52,0,52,100.000000
A1,8,1,100,52,48,0,48,100.000000
A1,9,0,100,46,54,0,54,100.000000
A1,9,1,100,54,46,0,46,100.000000
A1,10,0,100,68,32,0,32,100.000000
A1,10,1,100,32,68,0,68,100.000000
A1,11,0,100,38,62,0,62,100.000000
A1,11,1,100,62,38,0,38,100.000000
A1,12,0,100,14,86,0,86,100.000000
A1,12,1,100,86,14,0,14,100.000000
A1,13,0,100,1,99,0,99,100.000000
A1,13,1,100,99,1,0,1,100.000000
A1,14,0,100,100,0,0,0,0.000000
A1,14,1,100,0,100,0,100,100.000000
A1,15,0,100,51,49,0,49,100.000000
A1,15,1,100,49,51,0,51,100.000000
A2,0,0,100,50,50,32,18,36.000000
A2,0,1,100,50,50,33,17,34.000000
A2,1,0,100,55,45,20,25,55.555556
A2,1,1,100,45,55,24,31,56.363636
A2,2,0,100,62,38,9,29,76.315789
A2,2,1,100,38,62,22,40,64.516129
A2,3,0,100,42,58,14,44,75.862069
A2,3,1,100,58,42,7,35,83.333333
A2,4,0,100,51,49,7,42,85.714286
A2,4,1,100,49,51,7,44,86.274510
A2,5,0,100,51,49,6,43,87.755102
A2,5,1,100,49,51,3,48,94.117647
A2,6,0,100,52,48,3,45,93.750000
A2,6,1,100,48,52,2,50,96.153846
A2,7,0,100,51,49,3,46,93.877551
A2,7,1,100,49,51,1,50,98.039216
A2,8,0,100,44,56,3,53,94.642857
A2,8,1,100,56,44,1,43,97.727273
A2,9,0,100,55,45,1,44,97.777778
A2,9,1,100,45,55,1,54,98.181818
A2,10,0,100,69,31,0,31,100.000000
A2,10,1,100,31,69,1,68,98.550725
A2,11,0,100,41,59,0,59,100.000000
A2,11,1,100,59,41,0,41,100.000000
A2,12,0,100,9,91,1,90,98.901099
A2,12,1,100,91,9,0,9,100.000000
A2,13,0,100,1,99,0,99,100.000000
A2,13,1,100,99,1,0,1,100.000000
A2,14,0,100,100,0,0,0,0.000000
A2,14,1,100,0,100,0,100,100.000000
A2,15,0,100,64,36,0,36,100.000000
A2,15,1,100,36,64,1,63,98.437500
A3,0,0,100,48,52,32,20,38.461538
A3,0,1,100,52,48,30,18,37.500000
A3,1,0,100,48,52,20,32,61.538462
A3,1,1,100,52,48,19,29,60.416667
A3,2,0,100,43,57,10,47,82.456140
A3,2,1,100,57,43,10,33,76.744186
A3,3,0,100,55,45,7,38,84.444444
A3,3,1,100,45,55,5,50,90.909091
A3,4,0,100,53,47,5,42,89.361702
A3,4,1,100,47,53,5,48,90.566038
A3,5,0,100,46,54,3,51,94.444444
A3,5,1,100,54,46,4,42,91.304348
A3,6,0,100,47,53,0,53,100.000000
A3,6,1,100,53,47,2,45,95.744681
A3,7,0,100,56,44,1,43,97.727273
A3,7,1,100,44,56,1,55,98.214286
A3,8,0,100,62,38,0,38,100.000000
A3,8,1,100,38,62,2,60,96.774194
A3,9,0,100,51,49,0,49,100.000000
A3,9,1,100,49,51,0,51,100.000000
A3,10,0,100,57,43,0,43,100.000000
