row,vector_id,target,operand_index,bit,stuck_at,original,faulty,activated,golden,faulty_result,faulty_is_nar,class
0,0,A0,0,0,0,12,12,False,EE,EE,False,Not activated
1,0,A0,0,0,1,12,13,True,EE,EF,False,SDC
2,0,A0,0,1,0,12,10,True,EE,EE,False,Masked
3,0,A0,0,1,1,12,12,False,EE,EE,False,Not activated
4,0,A0,0,2,0,12,12,False,EE,EE,False,Not activated
5,0,A0,0,2,1,12,16,True,EE,F0,False,SDC
6,0,A0,0,3,0,12,12,False,EE,EE,False,Not activated
7,0,A0,0,3,1,12,1A,True,EE,F2,False,SDC
8,0,A0,0,4,0,12,02,True,EE,E7,False,SDC
9,0,A0,0,4,1,12,12,False,EE,EE,False,Not activated
10,0,A0,0,5,0,12,12,False,EE,EE,False,Not activated
11,0,A0,0,5,1,12,32,True,EE,FD,False,SDC
12,0,A0,0,6,0,12,12,False,EE,EE,False,Not activated
13,0,A0,0,6,1,12,52,True,EE,15,False,SDC
14,0,A0,0,7,0,12,12,False,EE,EE,False,Not activated
15,0,A0,0,7,1,12,92,True,EE,9F,False,SDC
16,0,A1,1,0,0,C3,C2,True,EE,EE,False,Masked
17,0,A1,1,0,1,C3,C3,False,EE,EE,False,Not activated
18,0,A1,1,1,0,C3,C1,True,EE,ED,False,SDC
19,0,A1,1,1,1,C3,C3,False,EE,EE,False,Not activated
20,0,A1,1,2,0,C3,C3,False,EE,EE,False,Not activated
21,0,A1,1,2,1,C3,C7,True,EE,F0,False,SDC
22,0,A1,1,3,0,C3,C3,False,EE,EE,False,Not activated
23,0,A1,1,3,1,C3,CB,True,EE,F1,False,SDC
24,0,A1,1,4,0,C3,C3,False,EE,EE,False,Not activated
25,0,A1,1,4,1,C3,D3,True,EE,F4,False,SDC
26,0,A1,1,5,0,C3,C3,False,EE,EE,False,Not activated
27,0,A1,1,5,1,C3,E3,True,EE,FA,False,SDC
28,0,A1,1,6,0,C3,83,True,EE,88,False,SDC
29,0,A1,1,6,1,C3,C3,False,EE,EE,False,Not activated
30,0,A1,1,7,0,C3,43,True,EE,1D,False,SDC
31,0,A1,1,7,1,C3,C3,False,EE,EE,False,Not activated
32,0,A2,2,0,0,E3,E2,True,EE,EE,False,Masked
33,0,A2,2,0,1,E3,E3,False,EE,EE,False,Not activated
34,0,A2,2,1,0,E3,E1,True,EE,ED,False,SDC
35,0,A2,2,1,1,E3,E3,False,EE,EE,False,Not activated
36,0,A2,2,2,0,E3,E3,False,EE,EE,False,Not activated
37,0,A2,2,2,1,E3,E7,True,EE,F1,False,SDC
38,0,A2,2,3,0,E3,E3,False,EE,EE,False,Not activated
39,0,A2,2,3,1,E3,EB,True,EE,F5,False,SDC
40,0,A2,2,4,0,E3,E3,False,EE,EE,False,Not activated
41,0,A2,2,4,1,E3,F3,True,EE,FB,False,SDC
42,0,A2,2,5,0,E3,C3,True,EE,D5,False,SDC
43,0,A2,2,5,1,E3,E3,False,EE,EE,False,Not activated
44,0,A2,2,6,0,E3,A3,True,EE,B2,False,SDC
45,0,A2,2,6,1,E3,E3,False,EE,EE,False,Not activated
46,0,A2,2,7,0,E3,63,True,EE,5B,False,SDC
47,0,A2,2,7,1,E3,E3,False,EE,EE,False,Not activated
48,0,A3,3,0,0,DD,DC,True,EE,EF,False,SDC
49,0,A3,3,0,1,DD,DD,False,EE,EE,False,Not activated
50,0,A3,3,1,0,DD,DD,False,EE,EE,False,Not activated
51,0,A3,3,1,1,DD,DF,True,EE,EC,False,SDC
52,0,A3,3,2,0,DD,D9,True,EE,F1,False,SDC
53,0,A3,3,2,1,DD,DD,False,EE,EE,False,Not activated
54,0,A3,3,3,0,DD,D5,True,EE,F5,False,SDC
55,0,A3,3,3,1,DD,DD,False,EE,EE,False,Not activated
56,0,A3,3,4,0,DD,CD,True,EE,FB,False,SDC
57,0,A3,3,4,1,DD,DD,False,EE,EE,False,Not activated
58,0,A3,3,5,0,DD,DD,False,EE,EE,False,Not activated
59,0,A3,3,5,1,DD,FD,True,EE,D3,False,SDC
60,0,A3,3,6,0,DD,9D,True,EE,48,False,SDC
61,0,A3,3,6,1,DD,DD,False,EE,EE,False,Not activated
62,0,A3,3,7,0,DD,5D,True,EE,9E,False,SDC
63,0,A3,3,7,1,DD,DD,False,EE,EE,False,Not activated
64,0,B0,4,0,0,1E,1E,False,EE,EE,False,Not activated
65,0,B0,4,0,1,1E,1F,True,EE,EF,False,SDC
66,0,B0,4,1,0,1E,1C,True,EE,EE,False,Masked
67,0,B0,4,1,1,1E,1E,False,EE,EE,False,Not activated
68,0,B0,4,2,0,1E,1A,True,EE,ED,False,SDC
69,0,B0,4,2,1,1E,1E,False,EE,EE,False,Not activated
70,0,B0,4,3,0,1E,16,True,EE,EC,False,SDC
71,0,B0,4,3,1,1E,1E,False,EE,EE,False,Not activated
72,0,B0,4,4,0,1E,0E,True,EE,EA,False,SDC
73,0,B0,4,4,1,1E,1E,False,EE,EE,False,Not activated
74,0,B0,4,5,0,1E,1E,False,EE,EE,False,Not activated
75,0,B0,4,5,1,1E,3E,True,EE,F7,False,SDC
76,0,B0,4,6,0,1E,1E,False,EE,EE,False,Not activated
77,0,B0,4,6,1,1E,5E,True,EE,09,False,SDC
78,0,B0,4,7,0,1E,1E,False,EE,EE,False,Not activated
79,0,B0,4,7,1,1E,9E,True,EE,BF,False,SDC
80,0,B1,5,0,0,17,16,True,EE,EF,False,SDC
81,0,B1,5,0,1,17,17,False,EE,EE,False,Not activated
82,0,B1,5,1,0,17,15,True,EE,F0,False,SDC
83,0,B1,5,1,1,17,17,False,EE,EE,False,Not activated
84,0,B1,5,2,0,17,13,True,EE,F2,False,SDC
85,0,B1,5,2,1,17,17,False,EE,EE,False,Not activated
86,0,B1,5,3,0,17,17,False,EE,EE,False,Not activated
87,0,B1,5,3,1,17,1F,True,EE,E6,False,SDC
88,0,B1,5,4,0,17,07,True,EE,FD,False,SDC
89,0,B1,5,4,1,17,17,False,EE,EE,False,Not activated
90,0,B1,5,5,0,17,17,False,EE,EE,False,Not activated
91,0,B1,5,5,1,17,37,True,EE,D0,False,SDC
92,0,B1,5,6,0,17,17,False,EE,EE,False,Not activated
93,0,B1,5,6,1,17,57,True,EE,AE,False,SDC
94,0,B1,5,7,0,17,17,False,EE,EE,False,Not activated
95,0,B1,5,7,1,17,97,True,EE,69,False,SDC
96,0,B2,6,0,0,32,32,False,EE,EE,False,Not activated
