row,vector_id,target,operand_index,bit,stuck_at,original,faulty,activated
0,0,A0,0,0,0,12,12,False
1,0,A0,0,0,1,12,13,True
2,0,A0,0,1,0,12,10,True
3,0,A0,0,1,1,12,12,False
4,0,A0,0,2,0,12,12,False
5,0,A0,0,2,1,12,16,True
6,0,A0,0,3,0,12,12,False
7,0,A0,0,3,1,12,1A,True
8,0,A0,0,4,0,12,02,True
9,0,A0,0,4,1,12,12,False
10,0,A0,0,5,0,12,12,False
11,0,A0,0,5,1,12,32,True
12,0,A0,0,6,0,12,12,False
13,0,A0,0,6,1,12,52,True
14,0,A0,0,7,0,12,12,False
15,0,A0,0,7,1,12,92,True
16,0,A1,1,0,0,C3,C2,True
17,0,A1,1,0,1,C3,C3,False
18,0,A1,1,1,0,C3,C1,True
19,0,A1,1,1,1,C3,C3,False
20,0,A1,1,2,0,C3,C3,False
21,0,A1,1,2,1,C3,C7,True
22,0,A1,1,3,0,C3,C3,False
23,0,A1,1,3,1,C3,CB,True
24,0,A1,1,4,0,C3,C3,False
25,0,A1,1,4,1,C3,D3,True
26,0,A1,1,5,0,C3,C3,False
27,0,A1,1,5,1,C3,E3,True
28,0,A1,1,6,0,C3,83,True
29,0,A1,1,6,1,C3,C3,False
30,0,A1,1,7,0,C3,43,True
31,0,A1,1,7,1,C3,C3,False
32,0,A2,2,0,0,E3,E2,True
33,0,A2,2,0,1,E3,E3,False
34,0,A2,2,1,0,E3,E1,True
35,0,A2,2,1,1,E3,E3,False
36,0,A2,2,2,0,E3,E3,False
37,0,A2,2,2,1,E3,E7,True
38,0,A2,2,3,0,E3,E3,False
39,0,A2,2,3,1,E3,EB,True
40,0,A2,2,4,0,E3,E3,False
41,0,A2,2,4,1,E3,F3,True
42,0,A2,2,5,0,E3,C3,True
43,0,A2,2,5,1,E3,E3,False
44,0,A2,2,6,0,E3,A3,True
45,0,A2,2,6,1,E3,E3,False
46,0,A2,2,7,0,E3,63,True
47,0,A2,2,7,1,E3,E3,False
48,0,A3,3,0,0,DD,DC,True
49,0,A3,3,0,1,DD,DD,False
50,0,A3,3,1,0,DD,DD,False
51,0,A3,3,1,1,DD,DF,True
52,0,A3,3,2,0,DD,D9,True
53,0,A3,3,2,1,DD,DD,False
54,0,A3,3,3,0,DD,D5,True
55,0,A3,3,3,1,DD,DD,False
56,0,A3,3,4,0,DD,CD,True
57,0,A3,3,4,1,DD,DD,False
58,0,A3,3,5,0,DD,DD,False
59,0,A3,3,5,1,DD,FD,True
60,0,A3,3,6,0,DD,9D,True
61,0,A3,3,6,1,DD,DD,False
62,0,A3,3,7,0,DD,5D,True
63,0,A3,3,7,1,DD,DD,False
64,0,B0,4,0,0,1E,1E,False
65,0,B0,4,0,1,1E,1F,True
66,0,B0,4,1,0,1E,1C,True
67,0,B0,4,1,1,1E,1E,False
68,0,B0,4,2,0,1E,1A,True
69,0,B0,4,2,1,1E,1E,False
70,0,B0,4,3,0,1E,16,True
71,0,B0,4,3,1,1E,1E,False
72,0,B0,4,4,0,1E,0E,True
73,0,B0,4,4,1,1E,1E,False
74,0,B0,4,5,0,1E,1E,False
75,0,B0,4,5,1,1E,3E,True
76,0,B0,4,6,0,1E,1E,False
77,0,B0,4,6,1,1E,5E,True
78,0,B0,4,7,0,1E,1E,False
79,0,B0,4,7,1,1E,9E,True
80,0,B1,5,0,0,17,16,True
81,0,B1,5,0,1,17,17,False
82,0,B1,5,1,0,17,15,True
83,0,B1,5,1,1,17,17,False
84,0,B1,5,2,0,17,13,True
85,0,B1,5,2,1,17,17,False
86,0,B1,5,3,0,17,17,False
87,0,B1,5,3,1,17,1F,True
88,0,B1,5,4,0,17,07,True
89,0,B1,5,4,1,17,17,False
90,0,B1,5,5,0,17,17,False
91,0,B1,5,5,1,17,37,True
92,0,B1,5,6,0,17,17,False
93,0,B1,5,6,1,17,57,True
94,0,B1,5,7,0,17,17,False
95,0,B1,5,7,1,17,97,True
96,0,B2,6,0,0,32,32,False
97,0,B2,6,0,1,32,33,True
98,0,B2,6,1,0,32,30,True
99,0,B2,6,1,1,32,32,False
100,0,B2,6,2,0,32,32,False
101,0,B2,6,2,1,32,36,True
102,0,B2,6,3,0,32,32,False
103,0,B2,6,3,1,32,3A,True
104,0,B2,6,4,0,32,22,True
105,0,B2,6,4,1,32,32,False
106,0,B2,6,5,0,32,12,True
107,0,B2,6,5,1,32,32,False
108,0,B2,6,6,0,32,32,False
109,0,B2,6,6,1,32,72,True
110,0,B2,6,7,0,32,32,False
111,0,B2,6,7,1,32,B2,True
112,0,B3,7,0,0,CB,CA,True
113,0,B3,7,0,1,CB,CB,False
