metric,count,percentage
num_vectors,100,
total_cases,57600,100.000000
not_activated,28800,50.000000
activated_cases,28800,50.000000
activated_masked,1572,5.458333
activated_sdc,27228,94.541667
faulty_nan_results,0,0.000000
faulty_infinity_results,0,0.000000
faulty_subnormal_results,0,0.000000
faulty_zero_results,0,0.000000
mean_vector_activated_sdc_percent,,94.541667
stdev_vector_activated_sdc_percent,,2.968137
standard_error_vector_sdc_percent,,0.296814
approx_95ci_low_percent,,93.959912
approx_95ci_high_percent,,95.123422
min_vector_activated_sdc_percent,,84.027778
max_vector_activated_sdc_percent,,99.652778
