row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated,golden,faulty_result,class
0,0,A0,0,8,0,0,09,08,True,FF13,FF04,SDC
1,0,A0,0,8,0,1,09,09,False,FF13,FF13,Not activated
2,0,A0,0,8,1,0,09,09,False,FF13,FF13,Not activated
3,0,A0,0,8,1,1,09,0B,True,FF13,FF31,SDC
4,0,A0,0,8,2,0,09,09,False,FF13,FF13,Not activated
5,0,A0,0,8,2,1,09,0D,True,FF13,FF4F,SDC
6,0,A0,0,8,3,0,09,01,True,FF13,FE9B,SDC
7,0,A0,0,8,3,1,09,09,False,FF13,FF13,Not activated
8,0,A0,0,8,4,0,09,09,False,FF13,FF13,Not activated
9,0,A0,0,8,4,1,09,19,True,FF13,0003,SDC
10,0,A0,0,8,5,0,09,09,False,FF13,FF13,Not activated
11,0,A0,0,8,5,1,09,29,True,FF13,00F3,SDC
12,0,A0,0,8,6,0,09,09,False,FF13,FF13,Not activated
13,0,A0,0,8,6,1,09,49,True,FF13,02D3,SDC
14,0,A0,0,8,7,0,09,09,False,FF13,FF13,Not activated
15,0,A0,0,8,7,1,09,89,True,FF13,F793,SDC
16,0,A1,1,8,0,0,E2,E2,False,FF13,FF13,Not activated
17,0,A1,1,8,0,1,E2,E3,True,FF13,FF1E,SDC
18,0,A1,1,8,1,0,E2,E0,True,FF13,FEFD,SDC
19,0,A1,1,8,1,1,E2,E2,False,FF13,FF13,Not activated
20,0,A1,1,8,2,0,E2,E2,False,FF13,FF13,Not activated
21,0,A1,1,8,2,1,E2,E6,True,FF13,FF3F,SDC
22,0,A1,1,8,3,0,E2,E2,False,FF13,FF13,Not activated
23,0,A1,1,8,3,1,E2,EA,True,FF13,FF6B,SDC
24,0,A1,1,8,4,0,E2,E2,False,FF13,FF13,Not activated
25,0,A1,1,8,4,1,E2,F2,True,FF13,FFC3,SDC
26,0,A1,1,8,5,0,E2,C2,True,FF13,FDB3,SDC
27,0,A1,1,8,5,1,E2,E2,False,FF13,FF13,Not activated
28,0,A1,1,8,6,0,E2,A2,True,FF13,FC53,SDC
29,0,A1,1,8,6,1,E2,E2,False,FF13,FF13,Not activated
