target,width_bits,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,8,0,0,100,39,61,1,60,98.360656
A0,8,0,1,100,61,39,1,38,97.435897
A0,8,1,0,100,52,48,1,47,97.916667
A0,8,1,1,100,48,52,1,51,98.076923
A0,8,2,0,100,53,47,1,46,97.872340
A0,8,2,1,100,47,53,1,52,98.113208
A0,8,3,0,100,52,48,1,47,97.916667
A0,8,3,1,100,48,52,1,51,98.076923
A0,8,4,0,100,56,44,2,42,95.454545
A0,8,4,1,100,44,56,0,56,100.000000
A0,8,5,0,100,51,49,1,48,97.959184
A0,8,5,1,100,49,51,1,50,98.039216
A0,8,6,0,100,53,47,1,46,97.872340
A0,8,6,1,100,47,53,1,52,98.113208
A0,8,7,0,100,53,47,1,46,97.872340
A0,8,7,1,100,47,53,1,52,98.113208
A1,8,0,0,100,68,32,0,32,100.000000
A1,8,0,1,100,32,68,0,68,100.000000
A1,8,1,0,100,52,48,0,48,100.000000
A1,8,1,1,100,48,52,0,52,100.000000
A1,8,2,0,100,41,59,0,59,100.000000
A1,8,2,1,100,59,41,0,41,100.000000
A1,8,3,0,100,49,51,0,51,100.000000
A1,8,3,1,100,51,49,0,49,100.000000
A1,8,4,0,100,43,57,0,57,100.000000
A1,8,4,1,100,57,43,0,43,100.000000
A1,8,5,0,100,52,48,0,48,100.000000
A1,8,5,1,100,48,52,0,52,100.000000
A1,8,6,0,100,52,48,0,48,100.000000
A1,8,6,1,100,48,52,0,52,100.000000
A1,8,7,0,100,52,48,0,48,100.000000
A1,8,7,1,100,48,52,0,52,100.000000
A2,8,0,0,100,56,44,2,42,95.454545
A2,8,0,1,100,44,56,1,55,98.214286
A2,8,1,0,100,44,56,1,55,98.214286
A2,8,1,1,100,56,44,2,42,95.454545
A2,8,2,0,100,59,41,1,40,97.560976
A2,8,2,1,100,41,59,2,57,96.610169
A2,8,3,0,100,47,53,2,51,96.226415
A2,8,3,1,100,53,47,1,46,97.872340
A2,8,4,0,100,53,47,3,44,93.617021
A2,8,4,1,100,47,53,0,53,100.000000
A2,8,5,0,100,61,39,2,37,94.871795
A2,8,5,1,100,39,61,1,60,98.360656
A2,8,6,0,100,64,36,2,34,94.444444
A2,8,6,1,100,36,64,1,63,98.437500
A2,8,7,0,100,64,36,2,34,94.444444
A2,8,7,1,100,36,64,1,63,98.437500
A3,8,0,0,100,44,56,0,56,100.000000
A3,8,0,1,100,56,44,1,43,97.727273
A3,8,1,0,100,47,53,1,52,98.113208
A3,8,1,1,100,53,47,0,47,100.000000
A3,8,2,0,100,50,50,0,50,100.000000
A3,8,2,1,100,50,50,1,49,98.000000
A3,8,3,0,100,47,53,1,52,98.113208
A3,8,3,1,100,53,47,0,47,100.000000
A3,8,4,0,100,45,55,1,54,98.181818
A3,8,4,1,100,55,45,0,45,100.000000
A3,8,5,0,100,48,52,0,52,100.000000
A3,8,5,1,100,52,48,1,47,97.916667
A3,8,6,0,100,49,51,0,51,100.000000
A3,8,6,1,100,51,49,1,48,97.959184
A3,8,7,0,100,49,51,0,51,100.000000
A3,8,7,1,100,51,49,1,48,97.959184
B0,8,0,0,100,54,46,0,46,100.000000
B0,8,0,1,100,46,54,0,54,100.000000
B0,8,1,0,100,57,43,0,43,100.000000
B0,8,1,1,100,43,57,0,57,100.000000
B0,8,2,0,100,50,50,0,50,100.000000
B0,8,2,1,100,50,50,0,50,100.000000
B0,8,3,0,100,48,52,0,52,100.000000
B0,8,3,1,100,52,48,0,48,100.000000
B0,8,4,0,100,48,52,0,52,100.000000
B0,8,4,1,100,52,48,0,48,100.000000
B0,8,5,0,100,47,53,0,53,100.000000
B0,8,5,1,100,53,47,0,47,100.000000
B0,8,6,0,100,47,53,0,53,100.000000
B0,8,6,1,100,53,47,0,47,100.000000
B0,8,7,0,100,47,53,0,53,100.000000
B0,8,7,1,100,53,47,0,47,100.000000
B1,8,0,0,100,49,51,1,50,98.039216
B1,8,0,1,100,51,49,1,48,97.959184
B1,8,1,0,100,45,55,0,55,100.000000
B1,8,1,1,100,55,45,2,43,95.555556
B1,8,2,0,100,44,56,1,55,98.214286
B1,8,2,1,100,56,44,1,43,97.727273
B1,8,3,0,100,46,54,0,54,100.000000
B1,8,3,1,100,54,46,2,44,95.652174
B1,8,4,0,100,55,45,1,44,97.777778
B1,8,4,1,100,45,55,1,54,98.181818
B1,8,5,0,100,43,57,1,56,98.245614
B1,8,5,1,100,57,43,1,42,97.674419
B1,8,6,0,100,46,54,1,53,98.148148
B1,8,6,1,100,54,46,1,45,97.826087
B1,8,7,0,100,46,54,1,53,98.148148
B1,8,7,1,100,54,46,1,45,97.826087
B2,8,0,0,100,46,54,1,53,98.148148
B2,8,0,1,100,54,46,1,45,97.826087
B2,8,1,0,100,49,51,1,50,98.039216
B2,8,1,1,100,51,49,1,48,97.959184
B2,8,2,0,100,49,51,1,50,98.039216
B2,8,2,1,100,51,49,1,48,97.959184
B2,8,3,0,100,50,50,1,49,98.000000
B2,8,3,1,100,50,50,1,49,98.000000
B2,8,4,0,100,47,53,1,52,98.113208
B2,8,4,1,100,53,47,1,46,97.872340
B2,8,5,0,100,50,50,1,49,98.000000
B2,8,5,1,100,50,50,1,49,98.000000
B2,8,6,0,100,52,48,1,47,97.916667
B2,8,6,1,100,48,52,1,51,98.076923
B2,8,7,0,100,52,48,1,47,97.916667
B2,8,7,1,100,48,52,1,51,98.076923
B3,8,0,0,100,48,52,1,51,98.076923
B3,8,0,1,100,52,48,0,48,100.000000
B3,8,1,0,100,51,49,0,49,100.000000
B3,8,1,1,100,49,51,1,50,98.039216
B3,8,2,0,100,58,42,1,41,97.619048
B3,8,2,1,100,42,58,0,58,100.000000
B3,8,3,0,100,55,45,0,45,100.000000
B3,8,3,1,100,45,55,1,54,98.181818
B3,8,4,0,100,51,49,1,48,97.959184
B3,8,4,1,100,49,51,0,51,100.000000
B3,8,5,0,100,46,54,1,53,98.148148
B3,8,5,1,100,54,46,0,46,100.000000
B3,8,6,0,100,47,53,1,52,98.113208
B3,8,6,1,100,53,47,0,47,100.000000
B3,8,7,0,100,47,53,1,52,98.113208
B3,8,7,1,100,53,47,0,47,100.000000
C0,16,0,0,100,52,48,0,48,100.000000
C0,16,0,1,100,48,52,0,52,100.000000
C0,16,1,0,100,54,46,0,46,100.000000
C0,16,1,1,100,46,54,0,54,100.000000
C0,16,2,0,100,47,53,0,53,100.000000
C0,16,2,1,100,53,47,0,47,100.000000
C0,16,3,0,100,47,53,0,53,100.000000
C0,16,3,1,100,53,47,0,47,100.000000
C0,16,4,0,100,55,45,0,45,100.000000
C0,16,4,1,100,45,55,0,55,100.000000
C0,16,5,0,100,53,47,0,47,100.000000
C0,16,5,1,100,47,53,0,53,100.000000
C0,16,6,0,100,51,49,0,49,100.000000
C0,16,6,1,100,49,51,0,51,100.000000
C0,16,7,0,100,57,43,0,43,100.000000
C0,16,7,1,100,43,57,0,57,100.000000
C0,16,8,0,100,55,45,0,45,100.000000
C0,16,8,1,100,45,55,0,55,100.000000
C0,16,9,0,100,55,45,0,45,100.000000
C0,16,9,1,100,45,55,0,55,100.000000
C0,16,10,0,100,56,44,0,44,100.000000
C0,16,10,1,100,44,56,0,56,100.000000
C0,16,11,0,100,56,44,0,44,100.000000
C0,16,11,1,100,44,56,0,56,100.000000
C0,16,12,0,100,56,44,0,44,100.000000
C0,16,12,1,100,44,56,0,56,100.000000
C0,16,13,0,100,56,44,0,44,100.000000
C0,16,13,1,100,44,56,0,56,100.000000
C0,16,14,0,100,56,44,0,44,100.000000
C0,16,14,1,100,44,56,0,56,100.000000
C0,16,15,0,100,56,44,0,44,100.000000
C0,16,15,1,100,44,56,0,56,100.000000
