vector_id,label,original,fp32_hex,decoded_fp32,quantization_error,class
0,A0,0.2788535969,3E8EC5E6,0.27885359525680542,-1.6431945804029624e-09,Normal
0,A1,-0.9499784896,BF7331CA,-0.94997847080230713,1.8797692846739267e-08,Normal
0,A2,-0.4499413633,BEE65EB7,-0.44994136691093445,-3.6109344403456589e-09,Normal
0,A3,-0.5535785237,BF0DB752,-0.55357849597930908,2.7720690964905259e-08,Normal
0,B0,0.4729424283,3EF22583,0.47294244170188904,1.3401889042974346e-08,Normal
0,B1,0.3533989748,3EB4F0B6,0.35339897871017456,3.9101745730185655e-09,Normal
0,B2,0.7843591354,3F48CBC3,0.7843591570854187,2.1685418682970692e-08,Normal
0,B3,-0.8261223347,BF537CC1,-0.82612234354019165,-8.8401916897851152e-09,Normal
0,C0,-0.1561563606,BE1FE774,-0.15615636110305786,-5.0305787313575934e-10,Normal
1,A0,-0.9404055611,BF70BE6B,-0.94040554761886597,1.3481133986914529e-08,Normal
1,A1,-0.5627240504,BF100EAF,-0.56272405385971069,-3.4597107401168614e-09,Normal
1,A2,0.0107105762,3C2F7B6A,0.010710576549172401,3.4917240106235869e-10,Normal
1,A3,-0.9469280606,BF7269E1,-0.94692808389663696,-2.3296636952885308e-08,Normal
1,B0,-0.6023246986,BF1A31F4,-0.6023247241973877,-2.5597387653952808e-08,Normal
1,B1,0.2997688756,3E997B4E,0.29976886510848999,-1.0491509994103865e-08,Normal
1,B2,0.0898829612,3DB8148F,0.08988296240568161,1.2056816101058132e-09,Normal
1,B3,-0.5591187559,BF0F2268,-0.55911874771118164,8.1888184011447152e-09,Normal
1,C0,0.1785313678,3E36D0ED,0.17853136360645294,-4.193547065156622e-09,Normal
2,A0,0.6188609134,3F1E6DAB,0.61886090040206909,-1.2997930953773107e-08,Normal
2,A1,-0.9870024806,BF7CAC32,-0.98700249195098877,-1.1350988815550522e-08,Normal
2,A2,0.6116385037,3F1C9457,0.61163848638534546,-1.7314654487954328e-08,Normal
2,A3,0.3962787900,3ECAE50E,0.39627879858016968,8.5801696858567311e-09,Normal
2,B0,-0.3194989670,BEA3955E,-0.31949895620346069,1.0796539329227528e-08,Normal
2,B1,-0.6890410004,BF3064FE,-0.68904101848602295,-1.8086022901542265e-08,Normal
2,B2,0.9144261444,3F6A17D5,0.91442614793777466,3.5377746288034473e-09,Normal
2,B3,-0.3268109098,BEA753C2,-0.32681089639663696,1.340336303057299e-08,Normal
2,C0,-0.8145083132,BF50839E,-0.81450831890106201,-5.7010620668762613e-09,Normal
3,A0,-0.8065672463,BF4E7B31,-0.80656725168228149,-5.3822815093695908e-09,Normal
3,A1,0.6949887327,3F31EAC8,0.69498872756958008,-5.1304198667168066e-09,Normal
3,A2,0.2074520627,3E546E50,0.20745205879211426,-3.9078857372309983e-09,Normal
3,A3,0.6142565465,3F1D3FEB,0.61425656080245972,1.4302459772075338e-08,Normal
3,B0,0.4594635734,3EEB3ECF,0.45946356654167175,-6.8583282386569522e-09,Normal
3,B1,0.0724561829,3D9463E8,0.072456181049346924,-1.8506530752304684e-09,Normal
3,B2,0.9462315280,3F723C3B,0.94623154401779175,1.6017791759637134e-08,Normal
3,B3,-0.2429312456,BE78C2F8,-0.24293124675750732,-1.1575073122216395e-09,Normal
3,C0,0.1040812625,3DD5288F,0.10408126562833786,3.1283378665314387e-09,Normal
4,A0,0.6588093285,3F28A7BA,0.65880930423736572,-2.4262634235050484e-08,Normal
4,A1,0.2370395047,3E72BA7C,0.23703950643539429,1.7353943004838612e-09,Normal
4,A2,0.7234138006,3F3931A6,0.72341382503509521,2.4435095169472731e-08,Normal
4,A3,0.1547042905,3E1E6ACD,0.15470428764820099,-2.851799019154555e-09,Normal
4,B0,0.4091436724,3ED17B48,0.40914368629455566,1.3894555672688824e-08,Normal
4,B1,-0.9083512327,BF6889B5,-0.90835124254226685,-9.842266890380813e-09,Normal
4,B2,-0.5442034487,BF0B50EB,-0.54420346021652222,-1.1516522180343713e-08,Normal
4,B3,-0.4212240728,BED7AAAF,-0.42122408747673035,-1.4676730331064647e-08,Normal
4,C0,-0.8404160462,BF572582,-0.8404160737991333,-2.7599133312072865e-08,Normal
5,A0,-0.5344182273,BF08CFA2,-0.53441822528839111,2.0116088794708276e-09,Normal
5,A1,-0.7979971412,BF4C498A,-0.7979971170425415,2.4157458478057947e-08,Normal
5,A2,-0.4440527938,BEE35AE3,-0.44405278563499451,8.1650055050452863e-09,Normal
5,A3,0.2713688885,3E8AF0DD,0.27136889100074768,2.5007476645022564e-09,Normal
5,B0,-0.2703356421,BE8A696F,-0.27033564448356628,-2.3835662887883302e-09,Normal
5,B1,-0.2596380658,BE84EF48,-0.25963807106018066,-5.2601806799223993e-09,Normal
5,B2,-0.5809859385,BF14BB7F,-0.58098596334457397,-2.4844573953686222e-08,Normal
5,B3,-0.4660443559,BEEE9D5E,-0.46604436635971069,-1.0459710708676795e-08,Normal
5,C0,0.8733091754,3F5F9131,0.87330919504165649,1.9641656523461393e-08,Normal
6,A0,0.2960707705,3E979697,0.29607078433036804,1.3830368017497818e-08,Normal
6,A1,0.2182620113,3E5F8014,0.21826201677322388,5.473223874119526e-09,Normal
6,A2,-0.6577227036,BF286084,-0.65772271156311035,-7.9631103933053282e-09,Normal
6,A3,0.4582535959,3EEAA037,0.45825359225273132,-3.6472686537614152e-09,Normal
6,B0,-0.6731950125,BF2C5682,-0.6731950044631958,8.0368042221223845e-09,Normal
6,B1,-0.2410891165,BE76E011,-0.2410891205072403,-4.007240289594094e-09,Normal
6,B2,0.9790467013,3F7AA2CE,0.97904670238494873,1.0849486864472624e-09,Normal
6,B3,0.2799995197,3E8F5C19,0.27999952435493469,4.6549347154645204e-09,Normal
6,C0,0.1138994875,3DE94422,0.11389948427677155,-3.2232284480349094e-09,Normal
7,A0,0.3692285020,3EBD0B85,0.36922851204872131,1.0048721299504848e-08,Normal
7,A1,0.6857038404,3F2F8A49,0.6857038140296936,-2.6370306382972331e-08,Normal
7,A2,0.5519998231,3F0D4FDC,0.55199980735778809,-1.5742211867397771e-08,Normal
7,A3,-0.5419038561,BF0ABA36,-0.54190385341644287,2.6835571542704884e-09,Normal
7,B0,-0.9357995122,BF6F908F,-0.93579953908920288,-2.6889202864310846e-08,Normal
7,B1,-0.3690939039,BEBCF9E0,-0.36909389495849609,8.941503926163108e-09,Normal
7,B2,-0.4645182480,BEEDD556,-0.46451824903488159,-1.0348815693284052e-09,Normal
7,B3,-0.5780343128,BF13FA0F,-0.57803434133529663,-2.8535296681120315e-08,Normal
7,C0,0.8858194287,3F62C510,0.88581943511962891,6.4196289395468398e-09,Normal
8,A0,0.7527352529,3F40B342,0.75273525714874268,4.2487426910042814e-09,Normal
8,A1,-0.3706442384,BEBDC515,-0.37064424157142639,-3.1714263992732583e-09,Normal
8,A2,0.3108773306,3E9F2B50,0.31087732315063477,-7.449365235778771e-09,Normal
8,A3,-0.2087361979,BE55BEF1,-0.20873619616031647,1.7396835361171981e-09,Normal
8,B0,0.8290951795,3F543F95,0.82909518480300903,5.303009031898398e-09,Normal
8,B1,-0.0822962948,BDA88AF6,-0.082296296954154968,-2.1541549655168524e-09,Normal
8,B2,-0.4702396670,BEF0C341,-0.47023966908454895,-2.0845489778764659e-09,Normal
8,B3,-0.5067449846,BF01BA0A,-0.50674498081207275,3.7879271941321235e-09,Normal
