metric,count,percentage
num_vectors,100,
total_cases,57600,100.000000
not_activated,28800,50.000000
activated_cases,28800,50.000000
activated_masked,1775,6.163194
activated_sdc,27025,93.836806
faulty_nar_results,0,0.000000
faulty_zero_results,0,0.000000
mean_vector_activated_sdc_percent,,93.836806
stdev_vector_activated_sdc_percent,,3.009816
standard_error_vector_sdc_percent,,0.300982
approx_95ci_low_percent,,93.246882
approx_95ci_high_percent,,94.426729
min_vector_activated_sdc_percent,,84.027778
max_vector_activated_sdc_percent,,98.958333
