target,bit,stuck_at,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_sdc_percent
A0,0,0,100,35,65,41,24,36.923077
A0,0,1,100,65,35,25,10,28.571429
A0,1,0,100,55,45,23,22,48.888889
A0,1,1,100,45,55,28,27,49.090909
A0,2,0,100,53,47,18,29,61.702128
A0,2,1,100,47,53,10,43,81.132075
A0,3,0,100,45,55,12,43,78.181818
A0,3,1,100,55,45,7,38,84.444444
A0,4,0,100,47,53,4,49,92.452830
A0,4,1,100,53,47,5,42,89.361702
A0,5,0,100,44,56,5,51,91.071429
A0,5,1,100,56,44,2,42,95.454545
A0,6,0,100,46,54,0,54,100.000000
A0,6,1,100,54,46,3,43,93.478261
A0,7,0,100,44,56,1,55,98.214286
A0,7,1,100,56,44,1,43,97.727273
A0,8,0,100,40,60,0,60,100.000000
A0,8,1,100,60,40,1,39,97.500000
A0,9,0,100,59,41,0,41,100.000000
A0,9,1,100,41,59,1,58,98.305085
A0,10,0,100,48,52,1,51,98.076923
A0,10,1,100,52,48,0,48,100.000000
A0,11,0,100,46,54,1,53,98.148148
A0,11,1,100,54,46,0,46,100.000000
A0,12,0,100,44,56,1,55,98.214286
A0,12,1,100,56,44,0,44,100.000000
A0,13,0,100,50,50,1,49,98.000000
A0,13,1,100,50,50,0,50,100.000000
A0,14,0,100,42,58,0,58,100.000000
A0,14,1,100,58,42,0,42,100.000000
A0,15,0,100,56,44,0,44,100.000000
A0,15,1,100,44,56,0,56,100.000000
A0,16,0,100,52,48,0,48,100.000000
A0,16,1,100,48,52,0,52,100.000000
A0,17,0,100,44,56,0,56,100.000000
A0,17,1,100,56,44,0,44,100.000000
A0,18,0,100,56,44,0,44,100.000000
A0,18,1,100,44,56,0,56,100.000000
A0,19,0,100,54,46,0,46,100.000000
A0,19,1,100,46,54,0,54,100.000000
A0,20,0,100,57,43,0,43,100.000000
A0,20,1,100,43,57,0,57,100.000000
A0,21,0,100,57,43,0,43,100.000000
A0,21,1,100,43,57,0,57,100.000000
A0,22,0,100,47,53,0,53,100.000000
A0,22,1,100,53,47,0,47,100.000000
A0,23,0,100,46,54,0,54,100.000000
A0,23,1,100,54,46,0,46,100.000000
A0,24,0,100,56,44,0,44,100.000000
A0,24,1,100,44,56,0,56,100.000000
