row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated,golden,golden_kind,faulty_result,faulty_kind,class
0,0,A0,0,32,0,0,30EC5E61,30EC5E60,True,CFD238DA,Finite,CFD238DA,Finite,Masked
1,0,A0,0,32,0,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
2,0,A0,0,32,1,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
3,0,A0,0,32,1,1,30EC5E61,30EC5E63,True,CFD238DA,Finite,CFD238DC,Finite,SDC
4,0,A0,0,32,2,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
5,0,A0,0,32,2,1,30EC5E61,30EC5E65,True,CFD238DA,Finite,CFD238DC,Finite,SDC
6,0,A0,0,32,3,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
7,0,A0,0,32,3,1,30EC5E61,30EC5E69,True,CFD238DA,Finite,CFD238DE,Finite,SDC
8,0,A0,0,32,4,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
9,0,A0,0,32,4,1,30EC5E61,30EC5E71,True,CFD238DA,Finite,CFD238E2,Finite,SDC
10,0,A0,0,32,5,0,30EC5E61,30EC5E41,True,CFD238DA,Finite,CFD238CC,Finite,SDC
11,0,A0,0,32,5,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
12,0,A0,0,32,6,0,30EC5E61,30EC5E21,True,CFD238DA,Finite,CFD238BC,Finite,SDC
13,0,A0,0,32,6,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
14,0,A0,0,32,7,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
15,0,A0,0,32,7,1,30EC5E61,30EC5EE1,True,CFD238DA,Finite,CFD23917,Finite,SDC
16,0,A0,0,32,8,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
17,0,A0,0,32,8,1,30EC5E61,30EC5F61,True,CFD238DA,Finite,CFD23954,Finite,SDC
18,0,A0,0,32,9,0,30EC5E61,30EC5C61,True,CFD238DA,Finite,CFD237E8,Finite,SDC
19,0,A0,0,32,9,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
20,0,A0,0,32,10,0,30EC5E61,30EC5A61,True,CFD238DA,Finite,CFD236F6,Finite,SDC
21,0,A0,0,32,10,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
22,0,A0,0,32,11,0,30EC5E61,30EC5661,True,CFD238DA,Finite,CFD23512,Finite,SDC
23,0,A0,0,32,11,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
24,0,A0,0,32,12,0,30EC5E61,30EC4E61,True,CFD238DA,Finite,CFD2314A,Finite,SDC
25,0,A0,0,32,12,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
26,0,A0,0,32,13,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
27,0,A0,0,32,13,1,30EC5E61,30EC7E61,True,CFD238DA,Finite,CFD247FD,Finite,SDC
28,0,A0,0,32,14,0,30EC5E61,30EC1E61,True,CFD238DA,Finite,CFD21A96,Finite,SDC
29,0,A0,0,32,14,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
30,0,A0,0,32,15,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
31,0,A0,0,32,15,1,30EC5E61,30ECDE61,True,CFD238DA,Finite,CFD27564,Finite,SDC
32,0,A0,0,32,16,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
33,0,A0,0,32,16,1,30EC5E61,30ED5E61,True,CFD238DA,Finite,CFD2B1EE,Finite,SDC
34,0,A0,0,32,17,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
35,0,A0,0,32,17,1,30EC5E61,30EE5E61,True,CFD238DA,Finite,CFD32B00,Finite,SDC
36,0,A0,0,32,18,0,30EC5E61,30E85E61,True,CFD238DA,Finite,CFD05490,Finite,SDC
37,0,A0,0,32,18,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
38,0,A0,0,32,19,0,30EC5E61,30E45E61,True,CFD238DA,Finite,CFCE7044,Finite,SDC
39,0,A0,0,32,19,1,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
40,0,A0,0,32,20,0,30EC5E61,30EC5E61,False,CFD238DA,Finite,CFD238DA,Finite,Not activated
