row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated,golden,golden_is_nar,faulty_result,faulty_is_nar,class
0,0,A0,0,16,0,0,21D9,21D8,True,DFA6,False,DFA5,False,SDC
1,0,A0,0,16,0,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
2,0,A0,0,16,1,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
3,0,A0,0,16,1,1,21D9,21DB,True,DFA6,False,DFA7,False,SDC
4,0,A0,0,16,2,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
5,0,A0,0,16,2,1,21D9,21DD,True,DFA6,False,DFA8,False,SDC
6,0,A0,0,16,3,0,21D9,21D1,True,DFA6,False,DFA2,False,SDC
7,0,A0,0,16,3,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
8,0,A0,0,16,4,0,21D9,21C9,True,DFA6,False,DF9E,False,SDC
9,0,A0,0,16,4,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
10,0,A0,0,16,5,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
11,0,A0,0,16,5,1,21D9,21F9,True,DFA6,False,DFB5,False,SDC
12,0,A0,0,16,6,0,21D9,2199,True,DFA6,False,DF88,False,SDC
13,0,A0,0,16,6,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
14,0,A0,0,16,7,0,21D9,2159,True,DFA6,False,DF69,False,SDC
15,0,A0,0,16,7,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
16,0,A0,0,16,8,0,21D9,20D9,True,DFA6,False,DF2D,False,SDC
17,0,A0,0,16,8,1,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
18,0,A0,0,16,9,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
19,0,A0,0,16,9,1,21D9,23D9,True,DFA6,False,E098,False,SDC
20,0,A0,0,16,10,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
21,0,A0,0,16,10,1,21D9,25D9,True,DFA6,False,E18A,False,SDC
22,0,A0,0,16,11,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
23,0,A0,0,16,11,1,21D9,29D9,True,DFA6,False,E36F,False,SDC
24,0,A0,0,16,12,0,21D9,21D9,False,DFA6,False,DFA6,False,Not activated
25,0,A0,0,16,12,1,21D9,31D9,True,DFA6,False,E82E,False,SDC
