vector_id,label,original,fp16_hex,decoded_fp16,quantization_error
0,A0,0.2788535969,3476,0.27880859375,-4.500315e-05
0,A1,-0.9499784896,BB9A,-0.9501953125,-0.0002168229
0,A2,-0.4499413633,B733,-0.449951171875,-9.80857499999e-06
0,A3,-0.5535785237,B86E,-0.5537109375,-0.0001324138
0,B0,0.4729424283,3791,0.472900390625,-4.2037675e-05
0,B1,0.3533989748,35A8,0.353515625,0.0001166502
0,B2,0.7843591354,3A46,0.7841796875,-0.0001794479
0,B3,-0.8261223347,BA9C,-0.826171875,-4.95403e-05
0,C0,-0.1561563606,B0FF,-0.156127929688,2.84309125e-05
1,A0,-0.9404055611,BB86,-0.9404296875,-2.41264e-05
1,A1,-0.5627240504,B880,-0.5625,0.0002240504
1,A2,0.0107105762,217C,0.0107116699219,1.093721875e-06
1,A3,-0.9469280606,BB93,-0.94677734375,0.00015071685
1,B0,-0.6023246986,B8D2,-0.6025390625,-0.0002143639
1,B1,0.2997688756,34CC,0.2998046875,3.58119e-05
1,B2,0.0898829612,2DC1,0.0899047851562,2.182395625e-05
1,B3,-0.5591187559,B879,-0.55908203125,3.672465e-05
1,C0,0.1785313678,31B7,0.178588867188,5.74993875e-05
2,A0,0.6188609134,38F3,0.61865234375,-0.00020856965
2,A1,-0.9870024806,BBE5,-0.98681640625,0.00018607435
2,A2,0.6116385037,38E5,0.61181640625,0.00017790255
2,A3,0.3962787900,3657,0.396240234375,-3.8555625e-05
2,B0,-0.3194989670,B51D,-0.319580078125,-8.1111125e-05
2,B1,-0.6890410004,B983,-0.68896484375,7.615665e-05
2,B2,0.9144261444,3B51,0.91455078125,0.00012463685
2,B3,-0.3268109098,B53B,-0.326904296875,-9.3387075e-05
2,C0,-0.8145083132,BA84,-0.814453125,5.51881999999e-05
3,A0,-0.8065672463,BA74,-0.806640625,-7.33787e-05
3,A1,0.6949887327,398F,0.69482421875,-0.00016451395
3,A2,0.2074520627,32A3,0.207397460938,-5.46017625e-05
3,A3,0.6142565465,38EA,0.6142578125,1.26600000006e-06
3,B0,0.4594635734,375A,0.45947265625,9.08285000001e-06
3,B1,0.0724561829,2CA3,0.0724487304688,-7.45243125e-06
3,B2,0.9462315280,3B92,0.9462890625,5.75345e-05
3,B3,-0.2429312456,B3C6,-0.242919921875,1.1323725e-05
3,C0,0.1040812625,2EA9,0.104064941406,-1.632109375e-05
4,A0,0.6588093285,3945,0.65869140625,-0.00011792225
4,A1,0.2370395047,3396,0.237060546875,2.1042175e-05
4,A2,0.7234138006,39CA,0.7236328125,0.0002190119
4,A3,0.1547042905,30F3,0.154663085938,-4.12045625e-05
4,B0,0.4091436724,368C,0.4091796875,3.60151e-05
4,B1,-0.9083512327,BB44,-0.908203125,0.0001481077
4,B2,-0.5442034487,B85B,-0.54443359375,-0.00023014505
4,B3,-0.4212240728,B6BD,-0.421142578125,8.1494675e-05
4,C0,-0.8404160462,BAB9,-0.84033203125,8.401495e-05
5,A0,-0.5344182273,B846,-0.5341796875,0.0002385398
