row,vector_id,target,operand_index,width_bits,bit,stuck_at,original,faulty,activated
0,0,A0,0,8,0,0,09,08,True
1,0,A0,0,8,0,1,09,09,False
2,0,A0,0,8,1,0,09,09,False
3,0,A0,0,8,1,1,09,0B,True
4,0,A0,0,8,2,0,09,09,False
5,0,A0,0,8,2,1,09,0D,True
6,0,A0,0,8,3,0,09,01,True
7,0,A0,0,8,3,1,09,09,False
8,0,A0,0,8,4,0,09,09,False
9,0,A0,0,8,4,1,09,19,True
10,0,A0,0,8,5,0,09,09,False
11,0,A0,0,8,5,1,09,29,True
12,0,A0,0,8,6,0,09,09,False
13,0,A0,0,8,6,1,09,49,True
14,0,A0,0,8,7,0,09,09,False
15,0,A0,0,8,7,1,09,89,True
16,0,A1,1,8,0,0,E2,E2,False
17,0,A1,1,8,0,1,E2,E3,True
18,0,A1,1,8,1,0,E2,E0,True
19,0,A1,1,8,1,1,E2,E2,False
20,0,A1,1,8,2,0,E2,E2,False
21,0,A1,1,8,2,1,E2,E6,True
22,0,A1,1,8,3,0,E2,E2,False
23,0,A1,1,8,3,1,E2,EA,True
24,0,A1,1,8,4,0,E2,E2,False
25,0,A1,1,8,4,1,E2,F2,True
26,0,A1,1,8,5,0,E2,C2,True
27,0,A1,1,8,5,1,E2,E2,False
28,0,A1,1,8,6,0,E2,A2,True
29,0,A1,1,8,6,1,E2,E2,False
30,0,A1,1,8,7,0,E2,62,True
31,0,A1,1,8,7,1,E2,E2,False
32,0,A2,2,8,0,0,F2,F2,False
33,0,A2,2,8,0,1,F2,F3,True
34,0,A2,2,8,1,0,F2,F0,True
35,0,A2,2,8,1,1,F2,F2,False
36,0,A2,2,8,2,0,F2,F2,False
37,0,A2,2,8,2,1,F2,F6,True
38,0,A2,2,8,3,0,F2,F2,False
39,0,A2,2,8,3,1,F2,FA,True
40,0,A2,2,8,4,0,F2,E2,True
41,0,A2,2,8,4,1,F2,F2,False
42,0,A2,2,8,5,0,F2,D2,True
43,0,A2,2,8,5,1,F2,F2,False
44,0,A2,2,8,6,0,F2,B2,True
45,0,A2,2,8,6,1,F2,F2,False
46,0,A2,2,8,7,0,F2,72,True
47,0,A2,2,8,7,1,F2,F2,False
48,0,A3,3,8,0,0,EE,EE,False
49,0,A3,3,8,0,1,EE,EF,True
50,0,A3,3,8,1,0,EE,EC,True
51,0,A3,3,8,1,1,EE,EE,False
52,0,A3,3,8,2,0,EE,EA,True
53,0,A3,3,8,2,1,EE,EE,False
54,0,A3,3,8,3,0,EE,E6,True
55,0,A3,3,8,3,1,EE,EE,False
56,0,A3,3,8,4,0,EE,EE,False
57,0,A3,3,8,4,1,EE,FE,True
58,0,A3,3,8,5,0,EE,CE,True
59,0,A3,3,8,5,1,EE,EE,False
60,0,A3,3,8,6,0,EE,AE,True
61,0,A3,3,8,6,1,EE,EE,False
62,0,A3,3,8,7,0,EE,6E,True
63,0,A3,3,8,7,1,EE,EE,False
64,0,B0,4,8,0,0,0F,0E,True
65,0,B0,4,8,0,1,0F,0F,False
66,0,B0,4,8,1,0,0F,0D,True
67,0,B0,4,8,1,1,0F,0F,False
68,0,B0,4,8,2,0,0F,0B,True
69,0,B0,4,8,2,1,0F,0F,False
70,0,B0,4,8,3,0,0F,07,True
71,0,B0,4,8,3,1,0F,0F,False
72,0,B0,4,8,4,0,0F,0F,False
73,0,B0,4,8,4,1,0F,1F,True
74,0,B0,4,8,5,0,0F,0F,False
75,0,B0,4,8,5,1,0F,2F,True
76,0,B0,4,8,6,0,0F,0F,False
77,0,B0,4,8,6,1,0F,4F,True
78,0,B0,4,8,7,0,0F,0F,False
79,0,B0,4,8,7,1,0F,8F,True
80,0,B1,5,8,0,0,0B,0A,True
81,0,B1,5,8,0,1,0B,0B,False
82,0,B1,5,8,1,0,0B,09,True
83,0,B1,5,8,1,1,0B,0B,False
84,0,B1,5,8,2,0,0B,0B,False
85,0,B1,5,8,2,1,0B,0F,True
86,0,B1,5,8,3,0,0B,03,True
